scale,seed,MAE,RMSE,MedianAE,status
0.0,42,171.25092680557916,222.2998046701948,147.709228515625,ok
0.0,123,166.06405042565387,217.30580235747757,88.9345703125,ok
0.0,2024,162.7112519637398,216.7542149410124,136.62353515625,ok
0.2,42,161.2365152110224,215.151085700304,113.64471435546875,ok
0.2,123,158.11172551694125,214.60569853495102,101.07989501953125,ok
0.2,2024,159.23657558275306,219.57459934814568,74.2281494140625,ok
0.5,42,159.2659334929093,213.09104820665638,119.8572998046875,ok
0.5,123,159.64643063752547,216.6844163862504,97.89657592773438,ok
0.5,2024,161.12676272184953,220.96491145658717,76.00509643554688,ok
1.0,42,158.39431563667628,212.86800664509929,123.794189453125,ok
1.0,123,160.68856877866,219.03597913966115,104.9100341796875,ok
1.0,2024,157.43947170091712,214.7445745449237,81.82366943359375,ok
2.0,42,157.87204311204994,212.49925674608778,126.8544921875,ok
2.0,123,163.922107198964,221.7401745597726,96.24200439453125,ok
2.0,2024,157.72664874532947,216.04308767753687,80.9093017578125,ok
5.0,42,157.7642424210258,212.1862800717675,128.36883544921875,ok
5.0,123,166.64863984481147,224.13072573877778,94.54067993164062,ok
5.0,2024,159.79776200004247,218.10311244166743,72.89389038085938,ok
