true_knee,n_phys,delta,knee_pred,abs_delta,ratio_abs_delta_over_sum_abs,ratio_abs_delta_over_pred,strata
701.0,391.70206,1.5681306,393.2702,1.5681306,0.003987413,0.003987413,far
876.0,535.7549,71.714714,607.4696,71.714714,0.11805482,0.11805482,far
877.0,529.495,74.57141,604.0664,74.57141,0.12344903,0.12344903,far
906.0,579.17175,88.624985,667.79675,88.624985,0.13271251,0.13271251,far
518.0,562.7219,21.543907,584.2658,21.543907,0.036873467,0.036873467,near
569.0,519.34717,66.40364,585.7508,66.40364,0.113365,0.113365,mid
494.0,501.03574,18.68406,519.7198,18.68406,0.035950255,0.035950255,near
887.0,509.59088,127.40728,636.99817,127.40728,0.200012,0.200012,far
506.0,521.5097,-5.1181664,516.39154,5.1181664,0.009718753,0.009911407,near
507.0,507.3853,-10.871698,496.5136,10.871698,0.020977426,0.021896074,near
504.0,493.11914,44.65404,537.7732,44.65404,0.08303508,0.08303508,near
500.0,507.6602,2.066828,509.72702,2.066828,0.004054774,0.004054774,near
522.0,544.2611,61.91826,606.1794,61.91826,0.102145106,0.102145106,near
517.0,508.39893,2.1962438,510.59518,2.1962438,0.0043013403,0.0043013403,near
525.0,562.781,110.636246,673.41724,110.636246,0.16429079,0.16429079,mid
507.0,439.40503,-8.999823,430.4052,8.999823,0.020070752,0.020910116,near
507.0,469.50067,78.33496,547.83563,78.33496,0.1429899,0.1429899,near
421.0,472.40314,-50.108803,422.29434,50.108803,0.09589982,0.118658476,near
462.0,492.98907,-45.19822,447.79086,45.19822,0.08398232,0.100936,near
793.0,492.33026,69.99365,562.3239,69.99365,0.12447213,0.12447213,far
891.0,509.74847,70.14903,579.8975,70.14903,0.120967984,0.120967984,far
208.0,486.01962,8.556287,494.5759,8.556287,0.01730025,0.01730025,far
569.0,540.6515,2.9321837,543.5837,2.9321837,0.005394172,0.005394172,mid
431.0,446.3943,45.561882,491.95618,45.561882,0.0926137,0.0926137,near
502.0,467.36957,63.813095,531.1827,63.813095,0.12013399,0.12013399,near
505.0,520.1931,18.563375,538.7565,18.563375,0.034455966,0.034455966,near
432.0,462.0925,56.69281,518.7853,56.69281,0.109279916,0.109279916,near
629.0,469.39987,57.373352,526.7732,57.373352,0.10891472,0.10891472,mid
541.0,486.81732,37.28675,524.10406,37.28675,0.07114379,0.07114379,mid
495.0,481.5052,-50.094803,431.4104,50.094803,0.09423402,0.11611867,near
490.0,474.84265,58.40597,533.2486,58.40597,0.1095286,0.1095286,near
438.0,458.35742,30.207624,488.56503,30.207624,0.06182928,0.06182928,near
504.0,494.87073,-38.7108,456.1599,38.7108,0.072548985,0.084862344,near
485.0,487.18927,1.7944992,488.98376,1.7944992,0.0036698543,0.0036698543,near
500.0,507.21646,-32.26409,474.95236,32.26409,0.05980585,0.06793121,near
498.0,432.97748,-46.189438,386.78802,46.189438,0.0963953,0.119417965,near
500.0,453.30652,57.63291,510.93942,57.63291,0.11279794,0.11279794,near
506.0,486.82605,63.119293,549.9453,63.119293,0.114773765,0.114773765,near
246.0,324.07098,-53.359955,270.71103,53.359955,0.14137673,0.19711038,mid
248.0,262.26016,-15.726259,246.5339,15.726259,0.056572042,0.063789435,mid
245.0,270.19482,-38.774548,231.42027,38.774548,0.12549642,0.16755036,far
390.0,337.02124,-11.12407,325.89716,11.12407,0.031952377,0.034133684,near
256.0,252.78781,12.10874,264.89655,12.10874,0.045711204,0.045711204,mid
530.0,451.14923,81.33064,532.47986,81.33064,0.15273938,0.15273938,mid
309.0,376.209,-62.53909,313.66992,62.53909,0.14253984,0.19937865,mid
249.0,253.32205,7.427208,260.74927,7.427208,0.028484099,0.028484099,mid
248.0,273.45038,-12.38658,261.0638,12.38658,0.04333443,0.047446564,mid
252.0,262.1731,-12.1739025,249.99919,12.1739025,0.04437411,0.04869577,mid
244.0,292.69022,-25.653605,267.03662,25.653605,0.080584586,0.09606774,far
249.0,359.86725,-116.25793,243.60931,116.25793,0.24417512,0.47723106,mid
246.0,297.1415,-42.402493,254.73901,42.402493,0.1248807,0.16645464,mid
247.0,342.8291,-110.85818,231.97092,110.85818,0.24434932,0.47789687,mid
247.0,300.79016,-52.292805,248.49736,52.292805,0.14810345,0.21043606,mid
