variant,n_early,seed,n_train,n_test,n_params,MAE,RMSE,MAPE,MedianAE,Within_50,Within_100,Bias,fold
full,100,0,68,22,7591,99.1525,155.2371,19.501,45.2695,0.5,0.7273,-61.2631,0
full,100,1,68,22,7591,96.5291,147.639,19.6188,43.9996,0.5909,0.7273,-41.8221,0
full,100,2,68,22,7591,98.3452,154.608,21.0305,39.7749,0.5909,0.6818,-38.6622,0
full,100,0,68,23,7591,145.0071,293.2536,21.2186,62.1145,0.3478,0.6087,-124.7775,1
full,100,1,68,23,7591,131.9897,284.8672,18.8973,58.8945,0.3913,0.7826,-102.8843,1
full,100,2,68,23,7591,144.4107,291.1701,21.6973,66.5114,0.3913,0.6957,-122.5652,1
full,100,0,70,21,7591,142.2388,202.1609,32.4396,71.048,0.3333,0.6667,-92.4763,2
full,100,1,70,21,7591,130.1595,192.74,30.127,65.1744,0.4762,0.619,-85.744,2
full,100,2,70,21,7591,148.8378,208.4952,32.66,78.282,0.381,0.5714,-107.638,2
full,100,0,68,23,7591,160.9807,251.164,40.2604,98.6747,0.3913,0.5217,-63.1143,3
full,100,1,68,23,7591,156.6923,258.5207,36.6404,42.1613,0.5652,0.6087,-79.4283,3
full,100,2,68,23,7591,161.2612,258.7788,39.5919,66.5203,0.4783,0.5217,-65.1805,3
full,100,0,69,22,7591,152.6074,213.1935,58.8625,93.1029,0.3636,0.5455,-6.3896,4
full,100,1,69,22,7591,162.4648,218.6643,64.9394,100.4761,0.4091,0.5,14.0474,4
full,100,2,69,22,7591,163.5056,222.7144,58.0648,112.0037,0.3182,0.4545,-28.5028,4
arch_only,100,0,68,22,7591,100.417,143.5811,21.5087,55.6095,0.4091,0.6364,-20.9279,0
arch_only,100,1,68,22,7591,105.5821,152.1177,23.3071,59.0581,0.3636,0.6818,-27.4693,0
arch_only,100,2,68,22,7591,99.2441,135.8787,23.2795,66.3744,0.4091,0.6364,-0.8208,0
arch_only,100,0,68,23,7591,127.8025,279.514,18.4864,45.488,0.5217,0.6957,-82.8608,1
arch_only,100,1,68,23,7591,130.9386,290.4222,18.2863,50.762,0.4783,0.7826,-102.1116,1
arch_only,100,2,68,23,7591,126.6108,279.2121,19.7523,28.1683,0.5652,0.6957,-79.3893,1
arch_only,100,0,70,21,7591,133.2106,191.1184,32.0737,62.1173,0.4286,0.5714,-77.2352,2
arch_only,100,1,70,21,7591,147.8825,209.4023,33.7012,78.9908,0.2857,0.619,-108.7019,2
arch_only,100,2,70,21,7591,137.9827,188.6719,35.2997,82.2106,0.1905,0.5714,-77.625,2
arch_only,100,0,68,23,7591,166.0375,266.4507,40.4328,80.5681,0.4348,0.5652,-67.6211,3
arch_only,100,1,68,23,7591,159.8742,251.8674,40.245,95.5208,0.3478,0.5217,-58.3616,3
arch_only,100,2,68,23,7591,163.6749,248.4569,44.8778,113.9112,0.3478,0.4348,-40.6549,3
arch_only,100,0,69,22,7591,162.502,218.878,66.9937,100.2062,0.2727,0.5,30.4038,4
arch_only,100,1,69,22,7591,163.4101,218.7752,65.1725,90.9359,0.2727,0.5,20.0963,4
arch_only,100,2,69,22,7591,161.6553,215.8195,65.7188,91.9272,0.4091,0.5,25.1771,4
