n_early,model,MAE,constant_floor,delta_vs_floor,within_run_pred_std,abs_corr_with_label,collapsed
50,PINN_Knee,159.22,186.68,-27.46,110.881,0.3574,0
50,PINN_UQ,168.16,186.68,-18.52,162.85806,0.3468,0
50,Ensemble_NN,170.91,186.68,-15.77,185.9743,0.3348,0
50,Pure_NN,178.44,186.68,-8.24,213.09836,0.316,0
50,Neural_ODE,194.35,186.68,7.67,511.67443,0.1624,0
50,PatchTST,245.14,186.68,58.47,0.00714,0.0009,1
50,Informer,245.63,186.68,58.95,0.0,0.0001,1
50,Transformer,246.67,186.68,60.0,0.00476,0.0,1
50,GRU,267.86,186.68,81.18,0.0,0.0002,1
50,LSTM,268.87,186.68,82.19,0.0,0.0003,1
50,Bayesian_LSTM,269.05,186.68,82.37,0.0,0.0016,1
100,PINN_Knee,139.61,179.43,-39.82,120.87083,0.4846,0
100,PINN_UQ,142.76,179.43,-36.67,156.52852,0.5035,0
100,Neural_ODE,150.41,179.43,-29.03,165.13561,0.4678,0
100,Ensemble_NN,156.03,179.43,-23.4,182.91748,0.4447,0
100,Pure_NN,161.51,179.43,-17.92,190.09623,0.4244,0
100,PatchTST,248.97,179.43,69.53,0.00499,0.0001,1
100,Informer,248.98,179.43,69.54,0.0,0.0069,1
100,Transformer,249.87,179.43,70.43,0.00499,0.0001,1
100,GRU,273.09,179.43,93.66,0.0,0.0,1
100,LSTM,274.46,179.43,95.03,0.0,0.0002,1
100,Bayesian_LSTM,274.56,179.43,95.13,0.0,0.0,1
150,PINN_Knee,117.36,175.17,-57.81,148.66642,0.6258,0
150,PINN_UQ,124.83,175.17,-50.34,185.08869,0.606,0
150,Ensemble_NN,133.35,175.17,-41.82,185.23414,0.5929,0
150,Neural_ODE,134.96,175.17,-40.21,205.16203,0.5721,0
150,Pure_NN,135.88,175.17,-39.29,194.34952,0.5832,0
150,PatchTST,256.18,175.17,81.01,0.00488,0.0003,1
150,Informer,256.27,175.17,81.1,0.0,0.0,1
150,Transformer,257.06,175.17,81.89,0.00337,0.0,1
150,GRU,282.66,175.17,107.49,0.0,0.0,1
150,LSTM,284.09,175.17,108.92,0.0,0.0016,1
150,Bayesian_LSTM,284.27,175.17,109.1,0.0,0.0007,1
