model,n_early,seed,n_test,MAE,MedianAE
XGBoost,50,0,39,248.4875,172.2841
XGBoost,50,1,39,248.4875,172.2841
XGBoost,50,2,39,248.4875,172.2841
RandomForest,50,0,39,247.8668,162.7295
RandomForest,50,1,39,247.8668,162.7295
RandomForest,50,2,39,247.8668,162.7295
GaussianProcess,50,0,39,253.4157,189.056
GaussianProcess,50,1,39,253.4157,189.056
GaussianProcess,50,2,39,253.4157,189.056
Pure_NN,50,0,39,293.9247,246.3302
Pure_NN,50,1,39,277.5347,247.4696
Pure_NN,50,2,39,285.5272,283.7867
Ensemble_NN,50,0,39,275.5648,229.8252
Ensemble_NN,50,1,39,277.8893,245.0165
Ensemble_NN,50,2,39,285.214,238.7022
Neural_ODE,50,0,39,263.3604,198.8545
Neural_ODE,50,1,39,252.1615,218.0536
Neural_ODE,50,2,39,264.6048,217.2773
PINN_Knee,50,0,39,271.9117,240.1104
PINN_Knee,50,1,39,271.0286,218.8455
PINN_Knee,50,2,39,266.6988,239.046
XGBoost,100,0,37,228.734,143.0964
XGBoost,100,1,37,228.734,143.0964
XGBoost,100,2,37,228.734,143.0964
RandomForest,100,0,37,240.2246,178.7628
RandomForest,100,1,37,240.2246,178.7628
RandomForest,100,2,37,240.2246,178.7628
GaussianProcess,100,0,37,245.1574,184.0172
GaussianProcess,100,1,37,245.1574,184.0172
GaussianProcess,100,2,37,245.1574,184.0172
Pure_NN,100,0,37,246.4081,211.2254
Pure_NN,100,1,37,299.0391,266.9989
Pure_NN,100,2,37,303.5268,257.8535
Ensemble_NN,100,0,37,268.9348,236.8428
Ensemble_NN,100,1,37,280.5487,233.2156
Ensemble_NN,100,2,37,290.483,225.9334
Neural_ODE,100,0,37,264.7332,189.9188
Neural_ODE,100,1,37,253.4899,170.3796
Neural_ODE,100,2,37,261.3332,213.1963
PINN_Knee,100,0,37,257.6182,195.6113
PINN_Knee,100,1,37,243.393,169.3111
PINN_Knee,100,2,37,261.2269,217.066
XGBoost,150,0,32,225.2958,153.0689
XGBoost,150,1,32,225.2958,153.0689
XGBoost,150,2,32,225.2958,153.0689
RandomForest,150,0,32,223.9959,136.1084
RandomForest,150,1,32,223.9959,136.1084
RandomForest,150,2,32,223.9959,136.1084
GaussianProcess,150,0,32,230.2182,153.0783
GaussianProcess,150,1,32,230.2182,153.0783
GaussianProcess,150,2,32,230.2182,153.0783
Pure_NN,150,0,32,261.7362,166.4815
Pure_NN,150,1,32,277.3407,218.9529
Pure_NN,150,2,32,256.0574,172.9343
Ensemble_NN,150,0,32,255.5079,180.0552
Ensemble_NN,150,1,32,254.5451,164.4074
Ensemble_NN,150,2,32,260.5343,179.7451
Neural_ODE,150,0,32,222.5821,154.8601
Neural_ODE,150,1,32,223.0818,133.2148
Neural_ODE,150,2,32,225.037,147.3606
PINN_Knee,150,0,32,237.5158,150.8324
PINN_Knee,150,1,32,215.1466,152.1665
PINN_Knee,150,2,32,237.3605,155.5565
