model,n_early,seed,fold,MAE,RMSE,MAPE,MedianAE,Within_50,Within_100,Bias
XGBoost,50,0,0,171.2666,244.879,60.3122,90.3563,0.3043,0.5217,7.1722
XGBoost,50,1,0,171.2666,244.879,60.3122,90.3563,0.3043,0.5217,7.1722
XGBoost,50,2,0,171.2666,244.879,60.3122,90.3563,0.3043,0.5217,7.1722
XGBoost,50,0,1,180.8284,340.6095,26.6569,104.548,0.3043,0.4348,-113.9394
XGBoost,50,1,1,180.8284,340.6095,26.6569,104.548,0.3043,0.4348,-113.9394
XGBoost,50,2,1,180.8284,340.6095,26.6569,104.548,0.3043,0.4348,-113.9394
XGBoost,50,0,2,140.5943,205.2447,53.0942,77.8361,0.4348,0.5217,-1.7381
XGBoost,50,1,2,140.5943,205.2447,53.0942,77.8361,0.4348,0.5217,-1.7381
XGBoost,50,2,2,140.5943,205.2447,53.0942,77.8361,0.4348,0.5217,-1.7381
XGBoost,50,0,3,212.7258,298.3002,61.4948,161.0903,0.3478,0.4348,16.564
XGBoost,50,1,3,212.7258,298.3002,61.4948,161.0903,0.3478,0.4348,16.564
XGBoost,50,2,3,212.7258,298.3002,61.4948,161.0903,0.3478,0.4348,16.564
XGBoost,50,0,4,265.524,378.5599,110.0683,141.6189,0.1739,0.3478,107.6655
XGBoost,50,1,4,265.524,378.5599,110.0683,141.6189,0.1739,0.3478,107.6655
XGBoost,50,2,4,265.524,378.5599,110.0683,141.6189,0.1739,0.3478,107.6655
RandomForest,50,0,0,117.5362,172.3975,42.06,51.7617,0.4783,0.5652,-29.9877
RandomForest,50,1,0,117.5362,172.3975,42.06,51.7617,0.4783,0.5652,-29.9877
RandomForest,50,2,0,117.5362,172.3975,42.06,51.7617,0.4783,0.5652,-29.9877
RandomForest,50,0,1,161.6021,330.1118,22.6182,61.3055,0.3913,0.6522,-131.42
RandomForest,50,1,1,161.6021,330.1118,22.6182,61.3055,0.3913,0.6522,-131.42
RandomForest,50,2,1,161.6021,330.1118,22.6182,61.3055,0.3913,0.6522,-131.42
RandomForest,50,0,2,153.0582,203.5279,53.8952,144.9105,0.2609,0.4783,-52.6518
RandomForest,50,1,2,153.0582,203.5279,53.8952,144.9105,0.2609,0.4783,-52.6518
RandomForest,50,2,2,153.0582,203.5279,53.8952,144.9105,0.2609,0.4783,-52.6518
RandomForest,50,0,3,192.061,287.1418,48.7443,114.9633,0.2609,0.4348,-55.9321
RandomForest,50,1,3,192.061,287.1418,48.7443,114.9633,0.2609,0.4348,-55.9321
RandomForest,50,2,3,192.061,287.1418,48.7443,114.9633,0.2609,0.4348,-55.9321
RandomForest,50,0,4,201.1469,266.2558,93.3366,174.2511,0.3043,0.4348,46.2546
RandomForest,50,1,4,201.1469,266.2558,93.3366,174.2511,0.3043,0.4348,46.2546
RandomForest,50,2,4,201.1469,266.2558,93.3366,174.2511,0.3043,0.4348,46.2546
GaussianProcess,50,0,0,121.8256,192.0884,56.2935,53.731,0.4348,0.7391,-35.6222
GaussianProcess,50,1,0,121.8256,192.0884,56.2935,53.731,0.4348,0.7391,-35.6222
GaussianProcess,50,2,0,121.8256,192.0884,56.2935,53.731,0.4348,0.7391,-35.6222
GaussianProcess,50,0,1,142.1788,302.9565,20.4545,61.6344,0.4348,0.7391,-110.9117
GaussianProcess,50,1,1,142.1788,302.9565,20.4545,61.6344,0.4348,0.7391,-110.9117
GaussianProcess,50,2,1,142.1788,302.9565,20.4545,61.6344,0.4348,0.7391,-110.9117
GaussianProcess,50,0,2,202.9402,252.7152,72.6369,135.4822,0.1304,0.1304,-69.0395
GaussianProcess,50,1,2,202.9402,252.7152,72.6369,135.4822,0.1304,0.1304,-69.0395
GaussianProcess,50,2,2,202.9402,252.7152,72.6369,135.4822,0.1304,0.1304,-69.0395
GaussianProcess,50,0,3,168.7874,270.4624,39.036,55.3487,0.4783,0.6087,-81.1806
GaussianProcess,50,1,3,168.7874,270.4624,39.036,55.3487,0.4783,0.6087,-81.1806
GaussianProcess,50,2,3,168.7874,270.4624,39.036,55.3487,0.4783,0.6087,-81.1806
GaussianProcess,50,0,4,176.5375,234.6164,90.222,106.5056,0.3043,0.4348,44.3979
GaussianProcess,50,1,4,176.5375,234.6164,90.222,106.5056,0.3043,0.4348,44.3979
GaussianProcess,50,2,4,176.5375,234.6164,90.222,106.5056,0.3043,0.4348,44.3979
XGBoost,100,0,0,120.4775,177.4592,23.5335,56.093,0.4545,0.5455,-12.368
XGBoost,100,1,0,120.4775,177.4592,23.5335,56.093,0.4545,0.5455,-12.368
XGBoost,100,2,0,120.4775,177.4592,23.5335,56.093,0.4545,0.5455,-12.368
XGBoost,100,0,1,156.9852,295.504,28.7134,85.1779,0.3913,0.5217,-28.9628
XGBoost,100,1,1,156.9852,295.504,28.7134,85.1779,0.3913,0.5217,-28.9628
XGBoost,100,2,1,156.9852,295.504,28.7134,85.1779,0.3913,0.5217,-28.9628
XGBoost,100,0,2,142.079,193.1025,31.6652,128.4753,0.2857,0.4286,-69.5231
XGBoost,100,1,2,142.079,193.1025,31.6652,128.4753,0.2857,0.4286,-69.5231
XGBoost,100,2,2,142.079,193.1025,31.6652,128.4753,0.2857,0.4286,-69.5231
XGBoost,100,0,3,198.1131,292.7453,47.6262,129.8755,0.2174,0.3913,-17.0474
XGBoost,100,1,3,198.1131,292.7453,47.6262,129.8755,0.2174,0.3913,-17.0474
XGBoost,100,2,3,198.1131,292.7453,47.6262,129.8755,0.2174,0.3913,-17.0474
XGBoost,100,0,4,184.9216,248.8095,69.08,147.6668,0.3182,0.4545,42.3223
XGBoost,100,1,4,184.9216,248.8095,69.08,147.6668,0.3182,0.4545,42.3223
XGBoost,100,2,4,184.9216,248.8095,69.08,147.6668,0.3182,0.4545,42.3223
RandomForest,100,0,0,86.2606,125.7252,18.0102,49.5565,0.5,0.6818,-29.6885
RandomForest,100,1,0,86.2606,125.7252,18.0102,49.5565,0.5,0.6818,-29.6885
RandomForest,100,2,0,86.2606,125.7252,18.0102,49.5565,0.5,0.6818,-29.6885
RandomForest,100,0,1,135.8958,264.1003,20.3412,80.2109,0.3043,0.6957,-98.3146
RandomForest,100,1,1,135.8958,264.1003,20.3412,80.2109,0.3043,0.6957,-98.3146
RandomForest,100,2,1,135.8958,264.1003,20.3412,80.2109,0.3043,0.6957,-98.3146
RandomForest,100,0,2,136.8572,186.5605,28.2511,92.9488,0.3333,0.5238,-92.9823
RandomForest,100,1,2,136.8572,186.5605,28.2511,92.9488,0.3333,0.5238,-92.9823
RandomForest,100,2,2,136.8572,186.5605,28.2511,92.9488,0.3333,0.5238,-92.9823
RandomForest,100,0,3,176.8414,242.1346,47.5733,138.1457,0.1739,0.3913,-11.8575
RandomForest,100,1,3,176.8414,242.1346,47.5733,138.1457,0.1739,0.3913,-11.8575
RandomForest,100,2,3,176.8414,242.1346,47.5733,138.1457,0.1739,0.3913,-11.8575
RandomForest,100,0,4,187.2454,243.4156,65.2707,132.1259,0.2727,0.3636,19.279
RandomForest,100,1,4,187.2454,243.4156,65.2707,132.1259,0.2727,0.3636,19.279
RandomForest,100,2,4,187.2454,243.4156,65.2707,132.1259,0.2727,0.3636,19.279
GaussianProcess,100,0,0,113.9009,150.3691,26.8379,74.2784,0.3182,0.6364,-33.0796
GaussianProcess,100,1,0,113.9009,150.3691,26.8379,74.2784,0.3182,0.6364,-33.0796
GaussianProcess,100,2,0,113.9009,150.3691,26.8379,74.2784,0.3182,0.6364,-33.0796
GaussianProcess,100,0,1,144.0535,290.757,22.362,75.5172,0.3043,0.5217,-106.5271
GaussianProcess,100,1,1,144.0535,290.757,22.362,75.5172,0.3043,0.5217,-106.5271
GaussianProcess,100,2,1,144.0535,290.757,22.362,75.5172,0.3043,0.5217,-106.5271
GaussianProcess,100,0,2,147.6165,210.7768,33.0059,97.4498,0.381,0.5238,-90.6007
GaussianProcess,100,1,2,147.6165,210.7768,33.0059,97.4498,0.381,0.5238,-90.6007
GaussianProcess,100,2,2,147.6165,210.7768,33.0059,97.4498,0.381,0.5238,-90.6007
GaussianProcess,100,0,3,173.7164,254.2487,45.9491,117.783,0.2174,0.3478,-35.2355
GaussianProcess,100,1,3,173.7164,254.2487,45.9491,117.783,0.2174,0.3478,-35.2355
GaussianProcess,100,2,3,173.7164,254.2487,45.9491,117.783,0.2174,0.3478,-35.2355
GaussianProcess,100,0,4,159.2587,217.508,61.7413,85.0038,0.3636,0.5455,16.5845
GaussianProcess,100,1,4,159.2587,217.508,61.7413,85.0038,0.3636,0.5455,16.5845
GaussianProcess,100,2,4,159.2587,217.508,61.7413,85.0038,0.3636,0.5455,16.5845
XGBoost,150,0,0,96.0581,144.382,22.8177,24.5964,0.5455,0.5909,45.8152
XGBoost,150,1,0,96.0581,144.382,22.8177,24.5964,0.5455,0.5909,45.8152
XGBoost,150,2,0,96.0581,144.382,22.8177,24.5964,0.5455,0.5909,45.8152
XGBoost,150,0,1,154.3471,282.1158,23.2804,84.1179,0.3913,0.5652,-101.4347
XGBoost,150,1,1,154.3471,282.1158,23.2804,84.1179,0.3913,0.5652,-101.4347
XGBoost,150,2,1,154.3471,282.1158,23.2804,84.1179,0.3913,0.5652,-101.4347
XGBoost,150,0,2,130.801,177.8583,21.7228,124.0948,0.35,0.45,-105.1066
XGBoost,150,1,2,130.801,177.8583,21.7228,124.0948,0.35,0.45,-105.1066
XGBoost,150,2,2,130.801,177.8583,21.7228,124.0948,0.35,0.45,-105.1066
XGBoost,150,0,3,163.1944,253.3479,31.3178,151.295,0.381,0.4762,-1.4592
XGBoost,150,1,3,163.1944,253.3479,31.3178,151.295,0.381,0.4762,-1.4592
XGBoost,150,2,3,163.1944,253.3479,31.3178,151.295,0.381,0.4762,-1.4592
XGBoost,150,0,4,147.7738,214.1804,34.7913,107.6382,0.4,0.5,50.3749
XGBoost,150,1,4,147.7738,214.1804,34.7913,107.6382,0.4,0.5,50.3749
XGBoost,150,2,4,147.7738,214.1804,34.7913,107.6382,0.4,0.5,50.3749
RandomForest,150,0,0,108.0063,133.3581,26.1405,87.2392,0.2727,0.5909,25.2311
RandomForest,150,1,0,108.0063,133.3581,26.1405,87.2392,0.2727,0.5909,25.2311
RandomForest,150,2,0,108.0063,133.3581,26.1405,87.2392,0.2727,0.5909,25.2311
RandomForest,150,0,1,122.0867,249.9689,17.9052,57.4089,0.4348,0.6957,-67.2677
RandomForest,150,1,1,122.0867,249.9689,17.9052,57.4089,0.4348,0.6957,-67.2677
RandomForest,150,2,1,122.0867,249.9689,17.9052,57.4089,0.4348,0.6957,-67.2677
RandomForest,150,0,2,109.4667,148.8481,17.7498,85.8976,0.45,0.55,-79.1007
RandomForest,150,1,2,109.4667,148.8481,17.7498,85.8976,0.45,0.55,-79.1007
RandomForest,150,2,2,109.4667,148.8481,17.7498,85.8976,0.45,0.55,-79.1007
RandomForest,150,0,3,138.9836,217.2986,26.9306,114.8493,0.4286,0.4286,-6.5278
RandomForest,150,1,3,138.9836,217.2986,26.9306,114.8493,0.4286,0.4286,-6.5278
