model,n_early,seed,MAE,MedianAE,Within_50,fold
XGBoost,50,0,171.2666,90.3563,0.3043,0
XGBoost,50,1,171.2666,90.3563,0.3043,0
XGBoost,50,2,171.2666,90.3563,0.3043,0
XGBoost,50,0,180.8284,104.548,0.3043,1
XGBoost,50,1,180.8284,104.548,0.3043,1
XGBoost,50,2,180.8284,104.548,0.3043,1
XGBoost,50,0,140.5943,77.8361,0.4348,2
XGBoost,50,1,140.5943,77.8361,0.4348,2
XGBoost,50,2,140.5943,77.8361,0.4348,2
XGBoost,50,0,212.7258,161.0903,0.3478,3
XGBoost,50,1,212.7258,161.0903,0.3478,3
XGBoost,50,2,212.7258,161.0903,0.3478,3
XGBoost,50,0,265.524,141.6189,0.1739,4
XGBoost,50,1,265.524,141.6189,0.1739,4
XGBoost,50,2,265.524,141.6189,0.1739,4
RandomForest,50,0,117.5362,51.7617,0.4783,0
RandomForest,50,1,117.5362,51.7617,0.4783,0
RandomForest,50,2,117.5362,51.7617,0.4783,0
RandomForest,50,0,161.6021,61.3055,0.3913,1
RandomForest,50,1,161.6021,61.3055,0.3913,1
RandomForest,50,2,161.6021,61.3055,0.3913,1
RandomForest,50,0,153.0582,144.9105,0.2609,2
RandomForest,50,1,153.0582,144.9105,0.2609,2
RandomForest,50,2,153.0582,144.9105,0.2609,2
RandomForest,50,0,192.061,114.9633,0.2609,3
RandomForest,50,1,192.061,114.9633,0.2609,3
RandomForest,50,2,192.061,114.9633,0.2609,3
RandomForest,50,0,201.1469,174.2511,0.3043,4
RandomForest,50,1,201.1469,174.2511,0.3043,4
RandomForest,50,2,201.1469,174.2511,0.3043,4
GaussianProcess,50,0,121.8256,53.731,0.4348,0
GaussianProcess,50,1,121.8256,53.731,0.4348,0
GaussianProcess,50,2,121.8256,53.731,0.4348,0
GaussianProcess,50,0,142.1788,61.6344,0.4348,1
GaussianProcess,50,1,142.1788,61.6344,0.4348,1
GaussianProcess,50,2,142.1788,61.6344,0.4348,1
GaussianProcess,50,0,202.9402,135.4822,0.1304,2
GaussianProcess,50,1,202.9402,135.4822,0.1304,2
GaussianProcess,50,2,202.9402,135.4822,0.1304,2
GaussianProcess,50,0,168.7874,55.3487,0.4783,3
GaussianProcess,50,1,168.7874,55.3487,0.4783,3
GaussianProcess,50,2,168.7874,55.3487,0.4783,3
GaussianProcess,50,0,176.5375,106.5056,0.3043,4
GaussianProcess,50,1,176.5375,106.5056,0.3043,4
GaussianProcess,50,2,176.5375,106.5056,0.3043,4
XGBoost,100,0,120.4775,56.093,0.4545,0
XGBoost,100,1,120.4775,56.093,0.4545,0
XGBoost,100,2,120.4775,56.093,0.4545,0
XGBoost,100,0,156.9852,85.1779,0.3913,1
XGBoost,100,1,156.9852,85.1779,0.3913,1
XGBoost,100,2,156.9852,85.1779,0.3913,1
XGBoost,100,0,142.079,128.4753,0.2857,2
XGBoost,100,1,142.079,128.4753,0.2857,2
XGBoost,100,2,142.079,128.4753,0.2857,2
XGBoost,100,0,198.1131,129.8755,0.2174,3
XGBoost,100,1,198.1131,129.8755,0.2174,3
XGBoost,100,2,198.1131,129.8755,0.2174,3
XGBoost,100,0,184.9216,147.6668,0.3182,4
XGBoost,100,1,184.9216,147.6668,0.3182,4
XGBoost,100,2,184.9216,147.6668,0.3182,4
RandomForest,100,0,86.2606,49.5565,0.5,0
RandomForest,100,1,86.2606,49.5565,0.5,0
RandomForest,100,2,86.2606,49.5565,0.5,0
RandomForest,100,0,135.8958,80.2109,0.3043,1
RandomForest,100,1,135.8958,80.2109,0.3043,1
RandomForest,100,2,135.8958,80.2109,0.3043,1
RandomForest,100,0,136.8572,92.9488,0.3333,2
RandomForest,100,1,136.8572,92.9488,0.3333,2
RandomForest,100,2,136.8572,92.9488,0.3333,2
RandomForest,100,0,176.8414,138.1457,0.1739,3
RandomForest,100,1,176.8414,138.1457,0.1739,3
RandomForest,100,2,176.8414,138.1457,0.1739,3
RandomForest,100,0,187.2454,132.1259,0.2727,4
RandomForest,100,1,187.2454,132.1259,0.2727,4
RandomForest,100,2,187.2454,132.1259,0.2727,4
GaussianProcess,100,0,113.9009,74.2784,0.3182,0
GaussianProcess,100,1,113.9009,74.2784,0.3182,0
GaussianProcess,100,2,113.9009,74.2784,0.3182,0
GaussianProcess,100,0,144.0535,75.5172,0.3043,1
GaussianProcess,100,1,144.0535,75.5172,0.3043,1
GaussianProcess,100,2,144.0535,75.5172,0.3043,1
GaussianProcess,100,0,147.6165,97.4498,0.381,2
GaussianProcess,100,1,147.6165,97.4498,0.381,2
GaussianProcess,100,2,147.6165,97.4498,0.381,2
GaussianProcess,100,0,173.7164,117.783,0.2174,3
GaussianProcess,100,1,173.7164,117.783,0.2174,3
GaussianProcess,100,2,173.7164,117.783,0.2174,3
GaussianProcess,100,0,159.2587,85.0038,0.3636,4
GaussianProcess,100,1,159.2587,85.0038,0.3636,4
GaussianProcess,100,2,159.2587,85.0038,0.3636,4
XGBoost,150,0,96.0581,24.5964,0.5455,0
XGBoost,150,1,96.0581,24.5964,0.5455,0
XGBoost,150,2,96.0581,24.5964,0.5455,0
XGBoost,150,0,154.3471,84.1179,0.3913,1
XGBoost,150,1,154.3471,84.1179,0.3913,1
XGBoost,150,2,154.3471,84.1179,0.3913,1
XGBoost,150,0,130.801,124.0948,0.35,2
XGBoost,150,1,130.801,124.0948,0.35,2
XGBoost,150,2,130.801,124.0948,0.35,2
XGBoost,150,0,163.1944,151.295,0.381,3
XGBoost,150,1,163.1944,151.295,0.381,3
XGBoost,150,2,163.1944,151.295,0.381,3
XGBoost,150,0,147.7738,107.6382,0.4,4
XGBoost,150,1,147.7738,107.6382,0.4,4
XGBoost,150,2,147.7738,107.6382,0.4,4
RandomForest,150,0,108.0063,87.2392,0.2727,0
RandomForest,150,1,108.0063,87.2392,0.2727,0
RandomForest,150,2,108.0063,87.2392,0.2727,0
RandomForest,150,0,122.0867,57.4089,0.4348,1
RandomForest,150,1,122.0867,57.4089,0.4348,1
RandomForest,150,2,122.0867,57.4089,0.4348,1
RandomForest,150,0,109.4667,85.8976,0.45,2
RandomForest,150,1,109.4667,85.8976,0.45,2
RandomForest,150,2,109.4667,85.8976,0.45,2
RandomForest,150,0,138.9836,114.8493,0.4286,3
RandomForest,150,1,138.9836,114.8493,0.4286,3
RandomForest,150,2,138.9836,114.8493,0.4286,3
RandomForest,150,0,144.6054,114.6371,0.4,4
RandomForest,150,1,144.6054,114.6371,0.4,4
RandomForest,150,2,144.6054,114.6371,0.4,4
GaussianProcess,150,0,96.4849,67.2907,0.3636,0
GaussianProcess,150,1,96.4849,67.2907,0.3636,0
GaussianProcess,150,2,96.4849,67.2907,0.3636,0
GaussianProcess,150,0,113.1242,36.0989,0.5217,1
GaussianProcess,150,1,113.1242,36.0989,0.5217,1
GaussianProcess,150,2,113.1242,36.0989,0.5217,1
GaussianProcess,150,0,106.0119,49.8398,0.5,2
GaussianProcess,150,1,106.0119,49.8398,0.5,2
GaussianProcess,150,2,106.0119,49.8398,0.5,2
GaussianProcess,150,0,131.1926,91.8027,0.4762,3
GaussianProcess,150,1,131.1926,91.8027,0.4762,3
GaussianProcess,150,2,131.1926,91.8027,0.4762,3
GaussianProcess,150,0,135.0135,79.1081,0.45,4
GaussianProcess,150,1,135.0135,79.1081,0.45,4
GaussianProcess,150,2,135.0135,79.1081,0.45,4
