n_early,seed,n_train,n_test,K_inner,alpha,PICP,MPIW,MAE,y_true,y_pred,lower,upper,fold
50,0,93,24,10,0.05,0.9583,1048.8,122.92,256|518|247|245|504|426|361|63|500|500|246|432|591|753|462|701|245|237|246|773|249|463|706|522,193.27|626.85|160.85|263.35|572.21|444.64|280.32|640.29|512.65|542.23|289.86|492.54|536.81|465.16|540.85|334.95|334.26|393.61|251.10|382.38|293.29|494.76|525.68|607.04,-318.60|107.14|-342.73|-267.52|39.83|-76.57|-237.87|141.24|9.28|4.33|-221.43|-20.25|-16.01|-81.92|5.78|-178.36|-186.96|-127.95|-263.41|-135.29|-222.44|-20.02|-12.06|105.25,720.96|1147.61|707.64|777.88|1079.42|965.69|801.72|1226.12|1061.31|1044.54|812.11|1009.08|1084.11|960.07|1121.18|883.30|868.58|936.13|769.32|904.30|817.15|1006.77|1014.73|1134.52,0
50,0,93,24,10,0.05,0.9167,1103.3,137.1,507|245|438|502|245|569|938|360|600|490|249|249|507|485|1681|246|541|530|549|569|389|246|92|498,528.77|308.21|432.73|491.33|304.97|558.10|328.55|273.10|433.22|442.16|222.53|222.09|460.33|513.92|473.87|255.06|473.72|266.22|301.05|514.06|360.32|353.67|91.41|406.39,-35.33|-239.29|-130.16|-76.14|-246.36|-1.07|-273.74|-276.58|-112.67|-118.32|-312.62|-334.50|-12.56|-49.68|-94.67|-295.74|-79.82|-368.54|-251.94|-3.44|-204.93|-183.01|-440.81|-180.10,1079.02|838.97|937.45|1001.53|839.41|1080.61|877.02|815.65|963.63|949.29|780.47|786.04|1032.12|1078.68|1026.07|803.03|992.39|893.66|849.69|1071.67|878.23|892.80|735.87|954.38,1
50,0,94,23,10,0.05,1.0,1119.3,121.22,507|252|500|250|887|390|251|259|629|793|568|409|505|506|904|252|517|133|906|421|71|377|494,505.01|241.01|488.81|221.11|571.55|249.27|255.84|204.02|438.44|488.59|457.64|477.05|524.53|577.42|445.56|255.13|416.43|374.05|507.12|418.13|260.36|423.33|507.96,-77.60|-328.99|-70.95|-329.23|-26.38|-301.54|-294.67|-438.30|-142.38|-86.35|-107.29|-104.21|-33.06|48.47|-85.28|-313.33|-92.64|-110.57|0.05|-89.91|-329.28|-149.46|-94.03,1069.51|822.94|1065.92|796.72|1085.23|825.43|843.53|700.21|991.54|1058.86|1002.69|1028.86|1099.35|1184.07|1038.39|812.22|954.29|939.18|1066.66|972.34|792.28|1002.47|1033.88,2
50,0,94,23,10,0.05,0.913,936.0,193.9,145|673|1341|247|244|819|309|441|248|621|585|143|248|247|248|863|246|249|504|598|249|246|660,452.46|497.94|437.70|292.39|311.22|477.09|119.24|550.09|262.65|282.17|395.25|463.99|268.83|206.17|262.79|381.94|286.71|233.43|526.66|56.82|258.50|251.75|396.65,-29.25|31.90|-44.65|-165.73|-152.74|12.67|-342.64|96.07|-195.52|-191.09|-90.20|2.30|-197.06|-259.26|-197.41|-98.17|-179.91|-222.06|55.67|-414.46|-201.64|-217.01|-93.20,917.69|942.45|900.41|763.58|778.18|921.46|646.28|1002.67|725.11|782.45|864.87|924.70|731.94|674.80|723.22|875.37|740.73|698.57|976.30|545.19|718.99|703.62|875.44,3
50,0,94,23,10,0.05,1.0,983.7,170.49,506|495|734|876|246|208|877|431|391|102|112|245|371|70|636|891|249|246|352|525|519|249|348,521.36|513.83|497.20|512.89|300.89|515.00|536.91|502.39|516.01|505.65|573.20|302.62|513.44|468.76|536.19|526.51|268.93|212.57|553.97|523.00|543.35|295.56|480.69,56.30|40.26|36.16|-19.23|-166.81|46.76|4.17|35.97|42.84|13.90|99.49|-186.41|50.40|-48.81|53.57|51.67|-199.56|-269.61|74.18|-1.57|71.05|-189.74|12.32,1011.99|1008.07|1017.62|981.08|808.06|1002.61|999.02|991.65|1045.16|1027.19|1103.30|769.27|1036.64|1021.83|1040.48|1007.35|756.12|686.07|1103.52|994.03|1066.64|765.95|989.46,4
100,0,90,23,10,0.05,1.0,989.0,106.74,256|518|247|245|504|426|361|500|500|246|432|591|753|462|701|245|237|246|773|249|463|706|522,481.69|619.49|261.23|245.53|551.54|518.07|303.02|595.77|528.57|244.72|509.85|471.97|552.23|528.05|247.95|290.77|448.22|266.03|512.12|211.71|514.42|603.91|666.32,-33.13|167.83|-203.08|-212.72|-5.93|59.91|-237.00|15.87|-4.54|-206.82|25.09|-46.30|68.19|-11.45|-227.08|-210.79|-36.71|-221.79|63.72|-252.06|26.85|99.14|197.33,1176.08|1140.34|757.37|766.93|1011.91|1020.36|774.45|1051.79|987.44|761.68|985.54|920.63|1028.64|1024.47|763.44|755.34|957.68|738.66|1024.16|708.39|987.30|1061.16|1157.78,0
100,0,90,23,10,0.05,0.913,1024.2,124.1,507|245|438|502|245|569|938|360|600|490|249|249|507|485|1681|246|541|530|549|569|389|246|498,455.00|318.36|414.09|462.38|268.91|528.34|416.67|363.17|431.67|477.33|235.51|224.92|444.74|526.95|533.92|231.35|443.54|431.85|403.43|548.55|303.50|348.65|455.92,-63.97|-190.72|-90.79|-59.86|-230.51|38.45|-92.04|-191.83|-50.57|-58.46|-279.59|-269.45|-138.29|7.20|46.87|-296.65|-68.50|-122.04|-112.23|38.58|-164.19|-150.04|-128.10,920.97|785.42|909.21|961.90|745.63|1017.41|929.16|860.02|945.40|1002.07|720.65|728.73|977.16|1027.72|1024.79|729.30|1017.22|1029.71|885.89|1084.30|862.38|826.10|937.70,1
100,0,91,22,10,0.05,1.0,1003.3,120.41,507|252|500|250|887|390|251|259|629|793|568|409|505|506|904|252|517|133|906|421|377|494,486.44|254.27|517.05|290.70|550.37|300.38|252.74|165.45|483.90|501.79|271.33|532.10|537.80|508.76|503.42|246.41|479.85|453.72|613.52|390.61|326.73|475.99,-20.90|-243.92|2.04|-198.67|73.71|-203.35|-250.09|-332.87|-17.83|29.55|-228.37|39.66|62.97|-20.52|3.60|-294.28|-22.39|-50.08|100.99|-165.48|-148.39|-1.32,976.95|753.93|999.90|804.83|1071.56|794.51|747.76|651.81|980.02|1027.40|791.33|1037.52|1060.83|967.45|1001.46|703.58|975.46|947.77|1098.84|947.11|849.46|996.53,2
100,0,90,23,10,0.05,0.9565,900.8,166.05,145|673|1341|247|244|819|309|441|248|621|585|143|248|247|248|863|246|249|504|598|249|246|660,414.04|534.45|569.87|247.13|338.64|477.17|347.85|621.45|445.74|492.25|342.76|453.45|172.11|256.52|259.18|414.65|311.64|245.39|515.21|408.66|184.54|289.77|477.51,-58.23|98.38|109.34|-163.67|-165.92|29.35|-124.64|85.30|-21.33|13.67|-142.79|29.98|-252.42|-151.62|-153.75|-62.82|-158.56|-187.13|68.40|-115.07|-282.65|-134.68|-13.74,873.88|965.53|959.04|712.21|759.34|932.55|820.56|1028.87|847.93|945.78|801.56|871.73|705.95|697.76|686.04|869.29|731.19|662.36|959.33|862.37|649.46|712.78|908.76,3
100,0,91,22,10,0.05,1.0,978.0,155.86,506|495|734|876|246|208|877|431|391|102|112|245|371|636|891|249|246|352|525|519|249|348,506.00|532.06|492.81|593.75|251.24|534.67|603.00|474.50|541.38|556.81|519.03|288.76|580.89|585.00|556.25|207.67|201.57|547.65|651.47|492.05|314.14|415.40,13.28|44.42|-8.42|96.78|-227.91|50.34|106.17|-38.04|23.50|46.51|16.40|-184.13|75.49|103.64|40.66|-280.50|-312.58|13.37|152.83|-4.12|-144.11|-92.20,989.52|1020.67|982.21|1073.02|748.33|1026.58|1082.41|938.20|999.74|1022.75|992.64|792.11|1051.73|1079.88|1016.90|695.74|663.67|1013.23|1129.07|972.12|832.13|884.04,4
