model,frac,n_train_used,seed,MAE
PINN_Knee,0.25,18,0,211.1929
XGBoost,0.25,18,0,219.5259
Pure_NN,0.25,18,0,160.8093
PINN_Knee,0.25,18,1,181.6747
XGBoost,0.25,18,1,208.9706
Pure_NN,0.25,18,1,203.3731
PINN_Knee,0.25,18,2,203.6606
XGBoost,0.25,18,2,214.4822
Pure_NN,0.25,18,2,205.1383
PINN_Knee,0.5,35,0,154.0321
XGBoost,0.5,35,0,282.8445
Pure_NN,0.5,35,0,194.7944
PINN_Knee,0.5,35,1,166.1444
XGBoost,0.5,35,1,263.5202
Pure_NN,0.5,35,1,178.4104
PINN_Knee,0.5,35,2,163.6357
XGBoost,0.5,35,2,148.1568
Pure_NN,0.5,35,2,192.8769
PINN_Knee,0.75,52,0,159.7496
XGBoost,0.75,52,0,226.3074
Pure_NN,0.75,52,0,186.8595
PINN_Knee,0.75,52,1,163.3289
XGBoost,0.75,52,1,211.1132
Pure_NN,0.75,52,1,160.5144
PINN_Knee,0.75,52,2,153.534
XGBoost,0.75,52,2,156.4493
Pure_NN,0.75,52,2,146.8173
PINN_Knee,1.0,70,0,153.8314
XGBoost,1.0,70,0,177.2462
Pure_NN,1.0,70,0,145.454
PINN_Knee,1.0,70,1,160.0614
XGBoost,1.0,70,1,177.2462
Pure_NN,1.0,70,1,153.907
PINN_Knee,1.0,70,2,158.4892
XGBoost,1.0,70,2,177.2462
Pure_NN,1.0,70,2,150.1096
