cell_name,knee_cycle,cap_end,cap_max,cap_mean,cap_mid,cap_min,cap_range,cap_start,cap_std,dQ_kurtosis,dQ_mean,dQ_min,dQ_skewness,dQ_std,drop_ratio,exp_a,exp_b,exp_c,linear_intercept,linear_r2,linear_slope,log_var_dQ,quad_a,quad_b,total_drop
SEV_batch1_c000,701,1.076677,1.0768414,1.0756453,1.0765301,1.0706892,0.0061522,1.0706892,0.0015528465,4.340102,0.0001222,-0.0034355,0.20561805,0.0010794814,0.025150234,0.041739214,5.387368e-18,1.0339061,1.0736257,0.5417404,7.920118e-05,-5.9335694,-4.065225e-06,0.00028652765,-0.0059878
SEV_batch1_c003,876,1.0856825,1.085786,1.0846179,1.0855597,1.0797229,0.0060631,1.0797229,0.0014077898,18.798338,0.00012162449,-0.0039966,-2.4196317,0.00074834895,0.021038925,0.044201206,1.780034e-18,1.0404166,1.0826985,0.59526163,7.526607e-05,-6.2517915,-2.8837037e-06,0.00022233496,-0.0059596
SEV_batch1_c004,877,1.0835305,1.0835598,1.0824623,1.0833453,1.0780181,0.0055417,1.0784167,0.0013780805,19.802986,0.000104363266,-0.0036754,-2.3418145,0.0006848908,0.037576593,0.044564325,1.3663753e-18,1.037898,1.0805166,0.638421,7.6301956e-05,-6.3287573,-2.8465436e-06,0.00022147567,-0.0051138
SEV_batch1_c005,906,1.0809991,1.0810155,1.0801004,1.0807229,1.075169,0.0058465,1.0761266,0.0013042057,25.147425,9.9438774e-05,-0.0053311,-3.7985594,0.0009050844,0.060091816,0.039746407,5.365858e-18,1.040354,1.0784798,0.49454808,6.3556196e-05,-6.0866218,-2.2972213e-06,0.00018071449,-0.0048725
SEV_batch1_c006,518,1.0817946,1.082139,1.0811393,1.0821004,1.0758358,0.0063032,1.0758358,0.0013921974,21.904907,0.000121608166,-0.0038166,-3.745541,0.00067056203,-0.048813973,0.0347519,4.721827e-17,1.0463874,1.0794609,0.46546948,6.58194e-05,-6.347122,-3.5928244e-06,0.00024905344,-0.0059588
SEV_batch1_c007,569,1.097527,1.0979686,1.097141,1.0977793,1.0938644,0.0041042,1.0938644,0.0009663259,8.472432,7.474694e-05,-0.0036286,-1.5916024,0.00084078906,-0.06444609,0.011768749,1.2933478e-14,1.0853723,1.0962508,0.27184293,3.491324e-05,-6.1506257,-1.4139378e-06,0.00010702407,-0.0036626
SEV_batch1_c008,494,1.0951604,1.0954319,1.0946923,1.0952562,1.0899748,0.0054571,1.0899748,0.0011199097,12.403018,0.00010582857,-0.0001107,3.29367,0.00023824254,-0.01813913,0.025974225,7.3763764e-16,1.0687181,1.093306,0.49081182,5.4368582e-05,-7.245961,-3.6374618e-06,0.00023987913,-0.0051856
SEV_batch1_c009,887,1.0881288,1.0881288,1.0872912,1.087786,1.0829742,0.0051546,1.0829742,0.0011957263,2.504087,0.00010519592,-9.42e-05,1.8032926,0.00017754853,0.071241535,0.036405753,2.7936874e-17,1.0508856,1.0856386,0.611743,6.480728e-05,-7.5013657,-3.3555248e-06,0.00023593903,-0.0051546
SEV_batch1_c010,506,1.0825036,1.0849713,1.0812386,1.0823424,1.0752757,0.0096956,1.0752757,0.0020791315,21.521757,0.00014750817,-0.0091423,-2.953844,0.0016216715,0.022811214,0.045634147,2.9273165e-18,1.0356045,1.0785233,0.54624164,0.00010648339,-5.5800743,-5.2077653e-06,0.00037207943,-0.0072279
SEV_batch1_c011,507,1.0608244,1.063239,1.059677,1.0606208,1.0537786,0.0094604,1.0537786,0.0018853496,21.02885,0.00014379184,-0.0085665,-2.8686683,0.0015301867,0.02975651,0.04357389,3.0235224e-18,1.0161031,1.057251,0.5303171,9.5140895e-05,-5.6305113,-4.5837005e-06,0.00032890963,-0.0070458
SEV_batch1_c012,504,1.0826718,1.0827627,1.081912,1.0823963,1.077566,0.0051967,1.077566,0.0011097878,10.852292,0.0001042,-8.23e-05,3.0941153,0.00020066861,0.057035796,0.03519058,3.051931e-17,1.0467215,1.0803378,0.6444609,6.173703e-05,-7.395041,-2.893715e-06,0.0002093165,-0.0051058
SEV_batch1_c013,500,1.0847031,1.084916,1.0842122,1.0846624,1.0797893,0.0051267,1.0797893,0.0010295921,13.358155,0.000100281635,-5.85e-05,3.4816756,0.00022843867,0.008351973,0.025643272,5.319021e-16,1.0585688,1.0828842,0.53277653,5.2076914e-05,-7.2824607,-3.0952976e-06,0.00020993709,-0.0049138
SEV_batch1_c014,522,1.0766805,1.0766946,1.0755264,1.076239,1.0708272,0.0058674,1.0709661,0.0014628705,24.601944,0.00011662041,-0.0047608,-3.7811081,0.0008157892,0.08373002,0.03790772,5.222163e-19,1.0376186,1.0734735,0.630709,8.050593e-05,-6.176844,-2.6128414e-06,0.00021376084,-0.0057144
SEV_batch1_c015,517,1.0684283,1.0684544,1.0670224,1.0678054,1.0611236,0.0073308,1.0611236,0.001699065,22.5462,0.00014907551,-0.0051002,-3.4608705,0.00089694466,0.093223386,0.048250232,2.7550566e-19,1.0187721,1.0646276,0.6362309,9.3912815e-05,-6.0944686,-3.1403508e-06,0.0002540707,-0.0073047
SEV_batch1_c016,525,1.0871018,1.0871018,1.0859566,1.0866631,1.0811664,0.0059354,1.0811664,0.0014302064,26.24169,0.000121130615,-0.0044643,-4.3342814,0.0007492627,0.07981153,0.047139958,6.078645e-19,1.0388167,1.0839832,0.60972106,7.738768e-05,-6.250732,-2.483797e-06,0.00020406133,-0.0059354
