variant,fold,seed,n_train,n_test,eq3_delta,delta_max,N_max,MAE
leaky,0,0,68,22,-0.4,800.0,2500.0,99.1525
leaky,0,1,68,22,-0.4,800.0,2500.0,96.5291
leaky,0,2,68,22,-0.4,800.0,2500.0,98.3452
leaky,1,0,68,23,-0.4,800.0,2500.0,145.0071
leaky,1,1,68,23,-0.4,800.0,2500.0,131.9897
leaky,1,2,68,23,-0.4,800.0,2500.0,144.4107
leaky,2,0,70,21,-0.4,800.0,2500.0,142.2388
leaky,2,1,70,21,-0.4,800.0,2500.0,130.1595
leaky,2,2,70,21,-0.4,800.0,2500.0,148.8378
leaky,3,0,68,23,-0.4,800.0,2500.0,160.9807
leaky,3,1,68,23,-0.4,800.0,2500.0,156.6923
leaky,3,2,68,23,-0.4,800.0,2500.0,161.2612
leaky,4,0,69,22,-0.4,800.0,2500.0,152.6074
leaky,4,1,69,22,-0.4,800.0,2500.0,162.4648
leaky,4,2,69,22,-0.4,800.0,2500.0,163.5056
nested,0,0,68,22,-0.4401,747.0,1998.1,98.8322
nested,0,1,68,22,-0.4401,747.0,1998.1,104.4914
nested,0,2,68,22,-0.4401,747.0,1998.1,99.4636
nested,1,0,68,23,-0.4401,747.0,1998.1,147.8494
nested,1,1,68,23,-0.4401,747.0,1998.1,133.5739
nested,1,2,68,23,-0.4401,747.0,1998.1,150.5549
nested,2,0,70,21,-0.3942,782.1,2504.7,142.0378
nested,2,1,70,21,-0.3942,782.1,2504.7,130.1644
nested,2,2,70,21,-0.3942,782.1,2504.7,148.733
nested,3,0,68,23,-0.2689,886.5,2504.7,161.4362
nested,3,1,68,23,-0.2689,886.5,2504.7,156.8574
nested,3,2,68,23,-0.2689,886.5,2504.7,159.841
nested,4,0,69,22,-0.2843,873.0,2504.7,152.053
nested,4,1,69,22,-0.2843,873.0,2504.7,164.2613
nested,4,2,69,22,-0.2843,873.0,2504.7,162.5093
