fold,seed,target,stratum,MAE,RMSE,MedAE
0,0,log,all,120.46,153.59,114.28
0,0,log,short,91.86,108.14,54.08
0,0,log,medium,86.55,107.47,57.65
0,0,log,long,204.68,235.63,178.96
0,0,raw,all,238.78,297.7,246.64
0,0,raw,short,44.64,44.77,45.64
0,0,raw,medium,233.42,245.55,261.64
0,0,raw,long,473.3,481.86,503.14
0,1,log,all,141.39,178.67,105.03
0,1,log,short,80.95,106.59,41.68
0,1,log,medium,114.45,130.19,94.16
0,1,log,long,252.32,279.95,267.57
0,1,raw,all,238.2,297.24,246.06
0,1,raw,short,44.06,44.2,45.06
0,1,raw,medium,232.84,245.0,261.06
0,1,raw,long,472.73,481.29,502.56
0,2,log,all,152.51,181.83,131.21
0,2,log,short,136.87,152.47,113.31
0,2,log,medium,182.83,221.25,165.19
0,2,log,long,125.28,143.8,127.47
0,2,raw,all,238.77,297.7,246.63
0,2,raw,short,44.63,44.77,45.63
0,2,raw,medium,233.41,245.55,261.63
0,2,raw,long,473.3,481.85,503.13
1,0,log,all,153.85,291.98,74.43
1,0,log,short,57.43,64.94,47.92
1,0,log,medium,41.78,54.35,24.52
1,0,log,long,267.56,417.55,144.78
1,0,raw,all,306.46,426.92,301.64
1,0,raw,short,46.3,46.33,45.64
1,0,raw,medium,243.64,249.48,261.14
1,0,raw,long,482.64,588.19,348.64
1,1,log,all,157.92,302.48,62.41
1,1,log,short,42.39,54.22,28.09
1,1,log,medium,45.94,56.07,44.58
1,1,log,long,282.03,433.57,180.44
1,1,raw,all,305.89,426.5,301.06
1,1,raw,short,45.73,45.76,45.06
1,1,raw,medium,243.06,248.91,260.56
1,1,raw,long,482.06,587.72,348.06
1,2,log,all,169.46,290.38,84.52
1,2,log,short,80.33,85.86,80.81
1,2,log,medium,81.5,107.12,56.97
1,2,log,long,266.05,407.46,146.71
1,2,raw,all,306.46,426.91,301.63
1,2,raw,short,46.3,46.33,45.63
1,2,raw,medium,243.63,249.47,261.13
1,2,raw,long,482.63,588.19,348.63
2,0,log,all,156.11,214.2,119.95
2,0,log,short,157.81,216.25,157.81
2,0,log,medium,88.02,134.32,50.3
2,0,log,long,249.29,289.73,272.47
2,0,raw,all,298.48,367.86,299.63
2,0,raw,short,58.5,59.17,58.5
2,0,raw,medium,185.73,214.45,208.64
2,0,raw,long,513.51,539.54,510.63
2,1,log,all,147.09,196.51,108.88
2,1,log,short,143.7,194.63,143.7
2,1,log,medium,87.49,125.05,68.19
2,1,log,long,229.89,265.33,236.07
2,1,raw,all,297.79,367.3,299.07
2,1,raw,short,58.5,59.26,58.5
2,1,raw,medium,184.81,213.59,208.08
2,1,raw,long,512.95,539.01,510.07
2,2,log,all,167.2,214.08,82.19
2,2,log,short,209.49,263.43,209.49
2,2,log,medium,98.88,128.4,66.51
2,2,log,long,250.56,283.35,301.98
2,2,raw,all,298.29,367.75,299.62
2,2,raw,short,58.5,59.17,58.5
2,2,raw,medium,185.38,214.09,208.63
2,2,raw,long,513.5,539.53,510.62
3,0,log,all,208.58,269.34,204.61
3,0,log,short,148.43,186.78,142.13
3,0,log,medium,169.54,217.61,204.61
3,0,log,long,330.98,386.94,267.82
3,0,raw,all,250.26,369.18,108.61
3,0,raw,short,48.67,48.82,47.61
3,0,raw,medium,224.61,236.33,240.61
3,0,raw,long,585.37,635.75,472.61
3,1,log,all,169.37,245.65,128.07
3,1,log,short,109.75,158.68,40.09
3,1,log,medium,97.0,120.59,65.53
3,1,log,long,314.74,385.13,186.17
3,1,raw,all,267.17,380.26,176.1
3,1,raw,short,84.62,142.3,47.1
3,1,raw,medium,224.1,235.85,240.1
3,1,raw,long,584.81,635.25,472.1
3,2,log,all,185.79,267.4,120.86
3,2,log,short,121.55,163.62,60.59
3,2,log,medium,71.68,94.9,58.62
3,2,log,long,368.26,431.79,341.59
3,2,raw,all,250.44,369.37,108.63
3,2,raw,short,48.67,48.83,47.63
3,2,raw,medium,224.63,236.35,240.63
3,2,raw,long,585.94,636.11,472.63
4,0,log,all,161.64,214.29,116.28
4,0,log,short,172.42,250.59,71.33
4,0,log,medium,132.89,168.78,107.05
4,0,log,long,172.43,205.21,222.62
4,0,raw,all,267.41,346.0,210.61
4,0,raw,short,53.06,59.31,45.61
4,0,raw,medium,223.94,231.59,210.61
4,0,raw,long,514.36,534.3,496.61
4,1,log,all,157.77,207.04,105.91
4,1,log,short,165.04,235.49,91.1
4,1,log,medium,87.62,111.6,67.48
4,1,log,long,203.11,230.4,207.2
4,1,raw,all,266.96,345.61,210.07
4,1,raw,short,52.78,59.26,45.07
4,1,raw,medium,223.4,231.06,210.07
4,1,raw,long,513.82,533.78,496.07
4,2,log,all,173.52,226.68,131.36
4,2,log,short,228.67,296.16,124.44
4,2,log,medium,138.3,163.9,152.39
4,2,log,long,144.78,182.9,129.64
4,2,raw,all,267.41,346.0,210.61
4,2,raw,short,53.06,59.31,45.62
4,2,raw,medium,223.95,231.59,210.61
4,2,raw,long,514.36,534.3,496.61
