n_train,n_test,n_cal,full,physics_only,arch_only,mlp_matched,constant_median,n_params_pinn,n_params_mlp,split_seed,fold,model_seed
68,23,22,95.38597305961277,234.1501524552055,101.2227146314538,130.65293884277344,149.7391304347826,7591,7601,42,0,0
68,23,22,109.31864066745923,102.824462890625,107.61957715905231,134.65006156589675,149.7391304347826,7591,7601,42,0,1
68,23,22,147.3404713506284,309.75122202997625,125.59266397227411,149.20409260625425,185.65217391304347,7591,7601,42,1,0
68,23,22,133.07564179793647,166.51295603876528,133.07018047830334,132.02081763226053,185.65217391304347,7591,7601,42,1,1
69,22,22,140.30055306174538,243.60325275767934,127.9183842052113,159.99161494861949,174.8181818181818,7591,7601,42,2,0
69,22,22,130.77681870894,181.05269345370206,148.5620685924183,158.60547950051048,174.8181818181818,7591,7601,42,2,1
68,23,22,169.49533081054688,181.8929496433424,174.99068815811822,191.51260774031928,244.08695652173913,7591,7601,42,3,0
68,23,22,167.04173809549084,189.01026651133662,169.7146984597911,179.90206876008406,244.08695652173913,7591,7601,42,3,1
69,22,22,153.23606803200462,199.32015020197088,168.229379827326,159.35421961004084,203.13636363636363,7591,7601,42,4,0
69,22,22,164.43479017777875,178.1221556230025,167.09652571244672,166.99289079145953,203.13636363636363,7591,7601,42,4,1
69,21,23,145.9406941731771,209.9454643612816,165.7867715018136,138.31135050455728,210.76190476190476,7591,7601,43,0,0
69,21,23,149.03613063267298,168.51729329427084,131.67226082938058,132.5056893484933,210.76190476190476,7591,7601,43,0,1
70,23,20,221.04714037024456,242.9295813519022,209.98066794353983,206.8713969355044,216.65217391304347,7591,7601,43,1,0
70,23,20,206.57473157799762,204.3786680802055,195.90725110924762,202.24408323868462,216.65217391304347,7591,7601,43,1,1
70,23,20,169.46915468962297,176.79140638268512,172.29807447350544,178.5760836393937,210.41304347826087,7591,7601,43,2,0
70,23,20,182.30968972911006,175.34034264605978,173.26787135912025,195.27885901409647,210.41304347826087,7591,7601,43,2,1
70,23,20,102.01029968261719,109.73399220342222,134.81983217985734,123.77662194293478,178.8913043478261,7591,7601,43,3,0
70,23,20,104.36703955608866,106.24518552033797,95.3137678063434,112.27189901600714,178.8913043478261,7591,7601,43,3,1
70,23,20,90.2006550664487,129.74664240298063,97.29059036918308,103.49494668711786,160.54347826086956,7591,7601,43,4,0
70,23,20,93.22125907566236,101.51309867527173,103.07804074494734,99.78762485670006,160.54347826086956,7591,7601,43,4,1
68,23,22,133.30221491274625,142.18233589504075,132.90748131793478,148.1924531356148,196.45652173913044,7591,7601,44,0,0
68,23,22,152.8074486773947,153.37359552798063,132.08191780422044,138.9963889743971,196.45652173913044,7591,7601,44,0,1
68,23,22,183.10144308338994,189.01197947626528,170.0071908702021,172.54109589949897,214.45652173913044,7591,7601,44,1,0
68,23,22,186.83487336531928,196.03662971828294,169.22598266601562,170.96776448125425,214.45652173913044,7591,7601,44,1,1
69,22,22,84.1462270563299,213.08860778808594,96.37188790061258,103.557363726876,138.27272727272728,7591,7601,44,2,0
69,22,22,95.51936756480823,137.94227322665128,103.12455610795455,95.8832938454368,138.27272727272728,7591,7601,44,2,1
69,22,22,158.67850425026634,209.87013799493963,153.35718050870028,156.6255083951083,215.27272727272728,7591,7601,44,3,0
69,22,22,153.79063692959872,156.88205164129084,158.66452234441584,157.28451676802203,215.27272727272728,7591,7601,44,3,1
68,23,22,151.88997417947522,265.5575309421705,145.932105022928,145.06732708474865,188.91304347826087,7591,7601,44,4,0
68,23,22,152.82892376443615,187.92698669433594,142.69969376273778,145.90426967454994,188.91304347826087,7591,7601,44,4,1
68,23,22,163.4090878030528,174.8871317324431,149.1151053387186,163.41373576288638,168.5,7591,7601,45,0,0
68,23,22,141.9888332201087,150.24878725798234,130.95150690493375,188.07546416572902,168.5,7591,7601,45,0,1
68,23,22,268.5839505402938,414.65171283224356,236.44994122049084,227.8713080364725,281.5,7591,7601,45,1,0
68,23,22,258.30303357995075,288.2507642663044,242.6150963824728,235.54453642471978,281.5,7591,7601,45,1,1
69,22,22,88.28815806995739,83.83221019398083,85.81563776189631,109.38827445290305,181.04545454545453,7591,7601,45,2,0
69,22,22,72.55270663174716,79.01171528209339,80.30488031560725,92.20227397571911,181.04545454545453,7591,7601,45,2,1
69,22,22,159.6732704856179,147.7957763671875,186.15024705366656,177.30797576904297,178.63636363636363,7591,7601,45,3,0
69,22,22,155.3563142256303,154.8558717207475,153.71997833251953,180.44068249789152,178.63636363636363,7591,7601,45,3,1
68,23,22,113.37565546450408,273.6289427384086,102.41308792777683,113.10143810769786,146.6304347826087,7591,7601,45,4,0
68,23,22,132.5070223600968,161.29800945779553,121.53025552500849,106.76895274286684,146.6304347826087,7591,7601,45,4,1
69,22,22,143.5217978737571,187.34196818958628,159.9878238331188,183.17180304093793,150.8181818181818,7591,7601,46,0,0
69,22,22,131.69625993208453,137.4810000332919,144.68700686368075,179.83801755038175,150.8181818181818,7591,7601,46,0,1
