model,n_early,seed,n_train,n_cal,n_test,n_params,train_time_s,test_cells,y_true,y_pred,MAE,RMSE,MAPE,MedianAE,Within_50,Within_100,Bias,fold
PINN_Knee,50,0,71,23,23,7591,10.45,SEV_batch2_c006|SEV_batch1_c006|SEV_batch2_c019|SEV_batch2_c004|SEV_batch1_c012|SEV_batch3_c008|SEV_batch2_c040|SEV_batch3_c017|SEV_batch1_c044|SEV_batch1_c013|SEV_batch2_c002|SEV_batch1_c030|SEV_batch3_c018|SEV_batch3_c030|SEV_batch1_c021|SEV_batch1_c000|SEV_batch2_c029|SEV_batch3_c040|SEV_batch2_c044|SEV_batch3_c027|SEV_batch2_c036|SEV_batch3_c012|SEV_batch3_c043,256|518|247|245|504|426|361|63|500|500|246|432|591|753|462|701|245|237|246|773|249|463|706,190.35|542.89|192.15|270.68|490.11|392.67|269.28|579.24|432.36|467.99|289.29|443.84|422.94|411.74|485.58|324.51|339.02|327.67|261.13|357.11|285.25|452.34|453.05,121.9992,190.5491,55.6811,54.8485,0.4783,0.7391,-45.3396,0
PINN_Knee,50,1,71,23,23,7591,5.16,SEV_batch2_c006|SEV_batch1_c006|SEV_batch2_c019|SEV_batch2_c004|SEV_batch1_c012|SEV_batch3_c008|SEV_batch2_c040|SEV_batch3_c017|SEV_batch1_c044|SEV_batch1_c013|SEV_batch2_c002|SEV_batch1_c030|SEV_batch3_c018|SEV_batch3_c030|SEV_batch1_c021|SEV_batch1_c000|SEV_batch2_c029|SEV_batch3_c040|SEV_batch2_c044|SEV_batch3_c027|SEV_batch2_c036|SEV_batch3_c012|SEV_batch3_c043,256|518|247|245|504|426|361|63|500|500|246|432|591|753|462|701|245|237|246|773|249|463|706,159.10|567.28|206.31|249.20|494.30|388.02|275.66|567.81|437.53|476.40|300.67|472.61|422.49|406.37|514.90|319.90|348.43|305.03|275.00|356.06|276.22|459.85|452.10,124.3948,190.8858,55.4239,54.6659,0.4348,0.6957,-43.1638,0
PINN_Knee,50,2,71,23,23,7591,4.89,SEV_batch2_c006|SEV_batch1_c006|SEV_batch2_c019|SEV_batch2_c004|SEV_batch1_c012|SEV_batch3_c008|SEV_batch2_c040|SEV_batch3_c017|SEV_batch1_c044|SEV_batch1_c013|SEV_batch2_c002|SEV_batch1_c030|SEV_batch3_c018|SEV_batch3_c030|SEV_batch1_c021|SEV_batch1_c000|SEV_batch2_c029|SEV_batch3_c040|SEV_batch2_c044|SEV_batch3_c027|SEV_batch2_c036|SEV_batch3_c012|SEV_batch3_c043,256|518|247|245|504|426|361|63|500|500|246|432|591|753|462|701|245|237|246|773|249|463|706,155.52|488.00|210.39|227.39|494.70|396.16|267.78|587.39|445.77|474.73|284.99|443.26|435.36|413.54|518.36|366.08|343.80|328.16|291.49|364.34|317.59|452.01|450.70,123.3301,188.1819,57.2209,56.3645,0.4348,0.6957,-42.0208,0
PINN_Knee,50,0,71,23,23,7591,7.55,SEV_batch1_c014|SEV_batch1_c017|SEV_batch2_c037|SEV_batch1_c037|SEV_batch1_c027|SEV_batch2_c022|SEV_batch1_c025|SEV_batch3_c039|SEV_batch2_c032|SEV_batch3_c003|SEV_batch1_c036|SEV_batch2_c041|SEV_batch2_c010|SEV_batch1_c011|SEV_batch1_c040|SEV_batch3_c038|SEV_batch2_c035|SEV_batch1_c034|SEV_batch2_c007|SEV_batch3_c006|SEV_batch1_c007|SEV_batch3_c007|SEV_batch2_c033,522|507|245|438|502|245|569|938|360|600|490|249|249|507|485|1681|246|541|530|549|569|389|246,560.95|452.31|314.82|421.90|455.40|293.68|514.67|342.17|271.33|404.66|424.77|243.61|211.05|475.03|460.75|438.30|253.30|442.88|253.23|418.87|443.64|358.18|329.59,146.4599,301.9261,21.1626,54.6872,0.4348,0.7391,-124.8654,1
PINN_Knee,50,1,71,23,23,7591,6.26,SEV_batch1_c014|SEV_batch1_c017|SEV_batch2_c037|SEV_batch1_c037|SEV_batch1_c027|SEV_batch2_c022|SEV_batch1_c025|SEV_batch3_c039|SEV_batch2_c032|SEV_batch3_c003|SEV_batch1_c036|SEV_batch2_c041|SEV_batch2_c010|SEV_batch1_c011|SEV_batch1_c040|SEV_batch3_c038|SEV_batch2_c035|SEV_batch1_c034|SEV_batch2_c007|SEV_batch3_c006|SEV_batch1_c007|SEV_batch3_c007|SEV_batch2_c033,522|507|245|438|502|245|569|938|360|600|490|249|249|507|485|1681|246|541|530|549|569|389|246,361.75|404.67|222.87|515.95|509.56|249.49|462.16|301.75|401.39|432.38|521.64|275.55|204.53|255.62|436.85|430.41|313.07|518.59|329.00|490.79|509.26|431.54|349.50,153.6548,308.3529,22.5834,59.7433,0.4348,0.6087,-118.639,1
PINN_Knee,50,2,71,23,23,7591,3.6,SEV_batch1_c014|SEV_batch1_c017|SEV_batch2_c037|SEV_batch1_c037|SEV_batch1_c027|SEV_batch2_c022|SEV_batch1_c025|SEV_batch3_c039|SEV_batch2_c032|SEV_batch3_c003|SEV_batch1_c036|SEV_batch2_c041|SEV_batch2_c010|SEV_batch1_c011|SEV_batch1_c040|SEV_batch3_c038|SEV_batch2_c035|SEV_batch1_c034|SEV_batch2_c007|SEV_batch3_c006|SEV_batch1_c007|SEV_batch3_c007|SEV_batch2_c033,522|507|245|438|502|245|569|938|360|600|490|249|249|507|485|1681|246|541|530|549|569|389|246,418.88|408.04|311.38|372.18|406.64|287.11|435.38|323.45|255.16|397.92|379.51|216.20|237.13|409.76|440.30|424.88|242.62|383.62|364.36|302.69|457.40|341.24|310.81,168.5634,310.8151,25.1223,98.9609,0.2609,0.5217,-153.4938,1
PINN_Knee,50,0,71,23,23,7591,5.18,SEV_batch2_c001|SEV_batch1_c043|SEV_batch1_c019|SEV_batch2_c031|SEV_batch1_c042|SEV_batch2_c021|SEV_batch1_c009|SEV_batch2_c005|SEV_batch2_c038|SEV_batch2_c047|SEV_batch1_c031|SEV_batch1_c022|SEV_batch3_c016|SEV_batch3_c021|SEV_batch1_c029|SEV_batch1_c010|SEV_batch3_c019|SEV_batch2_c012|SEV_batch1_c015|SEV_batch3_c034|SEV_batch1_c005|SEV_batch1_c020|SEV_batch2_c000,92|498|507|252|500|250|887|390|251|259|629|793|568|409|505|506|904|252|517|133|906|421|71,507.96|406.00|468.96|256.65|461.89|224.79|496.23|258.49|265.31|126.31|399.51|475.29|439.86|464.22|482.74|507.32|404.37|235.32|465.68|367.98|514.36|463.74|298.45,152.253,214.7925,59.6467,91.999,0.3913,0.5217,-65.5892,2
PINN_Knee,50,1,71,23,23,7591,3.16,SEV_batch2_c001|SEV_batch1_c043|SEV_batch1_c019|SEV_batch2_c031|SEV_batch1_c042|SEV_batch2_c021|SEV_batch1_c009|SEV_batch2_c005|SEV_batch2_c038|SEV_batch2_c047|SEV_batch1_c031|SEV_batch1_c022|SEV_batch3_c016|SEV_batch3_c021|SEV_batch1_c029|SEV_batch1_c010|SEV_batch3_c019|SEV_batch2_c012|SEV_batch1_c015|SEV_batch3_c034|SEV_batch1_c005|SEV_batch1_c020|SEV_batch2_c000,92|498|507|252|500|250|887|390|251|259|629|793|568|409|505|506|904|252|517|133|906|421|71,233.83|430.55|477.37|203.80|409.36|232.78|434.48|229.57|239.07|144.05|535.97|474.90|416.57|486.23|422.33|209.12|443.70|362.35|307.94|386.88|350.12|456.25|333.06,175.6932,230.7931,56.4926,114.9515,0.2174,0.4348,-99.1194,2
PINN_Knee,50,2,71,23,23,7591,3.77,SEV_batch2_c001|SEV_batch1_c043|SEV_batch1_c019|SEV_batch2_c031|SEV_batch1_c042|SEV_batch2_c021|SEV_batch1_c009|SEV_batch2_c005|SEV_batch2_c038|SEV_batch2_c047|SEV_batch1_c031|SEV_batch1_c022|SEV_batch3_c016|SEV_batch3_c021|SEV_batch1_c029|SEV_batch1_c010|SEV_batch3_c019|SEV_batch2_c012|SEV_batch1_c015|SEV_batch3_c034|SEV_batch1_c005|SEV_batch1_c020|SEV_batch2_c000,92|498|507|252|500|250|887|390|251|259|629|793|568|409|505|506|904|252|517|133|906|421|71,338.94|440.92|474.52|242.69|455.22|212.91|514.42|256.28|263.24|179.86|460.12|443.26|384.75|426.46|479.63|433.11|422.26|206.31|354.09|375.97|428.99|437.14|245.43,149.732,208.567,49.5731,79.1396,0.3913,0.5217,-87.9777,2
PINN_Knee,50,0,71,23,23,7591,5.41,SEV_batch3_c013|SEV_batch1_c008|SEV_batch3_c011|SEV_batch3_c026|SEV_batch3_c042|SEV_batch2_c020|SEV_batch2_c013|SEV_batch3_c000|SEV_batch2_c009|SEV_batch3_c004|SEV_batch2_c028|SEV_batch3_c041|SEV_batch3_c001|SEV_batch3_c014|SEV_batch2_c003|SEV_batch2_c024|SEV_batch2_c011|SEV_batch3_c036|SEV_batch2_c023|SEV_batch2_c043|SEV_batch1_c039|SEV_batch3_c037|SEV_batch2_c025,377|494|145|673|1341|247|244|819|309|441|248|621|585|143|248|247|248|863|246|249|504|598|249,356.24|439.44|425.43|433.38|409.07|291.02|281.72|410.10|260.17|484.15|285.57|314.95|376.30|411.77|232.12|250.99|297.57|363.88|314.77|246.63|469.51|200.47|269.09,174.9049,280.5151,39.4801,49.5658,0.5217,0.6087,-100.637,3
PINN_Knee,50,1,71,23,23,7591,2.89,SEV_batch3_c013|SEV_batch1_c008|SEV_batch3_c011|SEV_batch3_c026|SEV_batch3_c042|SEV_batch2_c020|SEV_batch2_c013|SEV_batch3_c000|SEV_batch2_c009|SEV_batch3_c004|SEV_batch2_c028|SEV_batch3_c041|SEV_batch3_c001|SEV_batch3_c014|SEV_batch2_c003|SEV_batch2_c024|SEV_batch2_c011|SEV_batch3_c036|SEV_batch2_c023|SEV_batch2_c043|SEV_batch1_c039|SEV_batch3_c037|SEV_batch2_c025,377|494|145|673|1341|247|244|819|309|441|248|621|585|143|248|247|248|863|246|249|504|598|249,341.99|408.77|424.85|425.08|387.36|264.28|350.84|415.42|362.61|480.67|341.00|319.59|398.16|393.99|480.97|284.23|264.42|398.90|401.50|192.51|396.57|345.04|277.25,191.574,280.4615,46.8546,107.4262,0.2609,0.4348,-77.5212,3
PINN_Knee,50,2,71,23,23,7591,3.69,SEV_batch3_c013|SEV_batch1_c008|SEV_batch3_c011|SEV_batch3_c026|SEV_batch3_c042|SEV_batch2_c020|SEV_batch2_c013|SEV_batch3_c000|SEV_batch2_c009|SEV_batch3_c004|SEV_batch2_c028|SEV_batch3_c041|SEV_batch3_c001|SEV_batch3_c014|SEV_batch2_c003|SEV_batch2_c024|SEV_batch2_c011|SEV_batch3_c036|SEV_batch2_c023|SEV_batch2_c043|SEV_batch1_c039|SEV_batch3_c037|SEV_batch2_c025,377|494|145|673|1341|247|244|819|309|441|248|621|585|143|248|247|248|863|246|249|504|598|249,356.15|461.81|400.37|417.87|401.63|283.93|231.98|402.46|255.59|469.70|255.49|311.89|371.43|388.10|215.96|242.90|277.39|357.89|269.28|256.77|453.71|285.74|264.81,165.4719,276.0046,35.5413,36.9315,0.5217,0.6087,-108.9631,3
PINN_Knee,50,0,71,23,23,7591,7.2,SEV_batch2_c030|SEV_batch3_c020|SEV_batch1_c045|SEV_batch1_c035|SEV_batch3_c029|SEV_batch1_c003|SEV_batch2_c018|SEV_batch1_c024|SEV_batch1_c004|SEV_batch1_c026|SEV_batch3_c025|SEV_batch3_c010|SEV_batch3_c031|SEV_batch2_c042|SEV_batch3_c009|SEV_batch3_c005|SEV_batch3_c045|SEV_batch1_c023|SEV_batch2_c026|SEV_batch2_c039|SEV_batch3_c033|SEV_batch1_c016|SEV_batch3_c015,246|660|506|495|734|876|246|208|877|431|391|102|112|245|371|70|636|891|249|246|352|525|519,288.55|487.07|475.05|509.36|434.95|479.62|328.72|485.49|488.58|447.69|466.18|497.85|503.98|302.06|463.87|497.43|541.47|530.54|246.39|182.07|524.34|513.58|515.39,168.2959,228.2061,82.7879,92.8716,0.3043,0.5652,9.6616,4
PINN_Knee,50,1,71,23,23,7591,4.64,SEV_batch2_c030|SEV_batch3_c020|SEV_batch1_c045|SEV_batch1_c035|SEV_batch3_c029|SEV_batch1_c003|SEV_batch2_c018|SEV_batch1_c024|SEV_batch1_c004|SEV_batch1_c026|SEV_batch3_c025|SEV_batch3_c010|SEV_batch3_c031|SEV_batch2_c042|SEV_batch3_c009|SEV_batch3_c005|SEV_batch3_c045|SEV_batch1_c023|SEV_batch2_c026|SEV_batch2_c039|SEV_batch3_c033|SEV_batch1_c016|SEV_batch3_c015,246|660|506|495|734|876|246|208|877|431|391|102|112|245|371|70|636|891|249|246|352|525|519,204.92|389.81|411.42|527.08|388.93|392.38|463.88|545.90|395.31|542.45|418.82|497.62|453.64|290.76|421.15|413.99|557.19|515.40|318.58|195.85|455.45|392.62|473.07,194.627,248.9665,82.9037,111.4465,0.2174,0.4348,-13.9909,4
PINN_Knee,50,2,71,23,23,7591,4.2,SEV_batch2_c030|SEV_batch3_c020|SEV_batch1_c045|SEV_batch1_c035|SEV_batch3_c029|SEV_batch1_c003|SEV_batch2_c018|SEV_batch1_c024|SEV_batch1_c004|SEV_batch1_c026|SEV_batch3_c025|SEV_batch3_c010|SEV_batch3_c031|SEV_batch2_c042|SEV_batch3_c009|SEV_batch3_c005|SEV_batch3_c045|SEV_batch1_c023|SEV_batch2_c026|SEV_batch2_c039|SEV_batch3_c033|SEV_batch1_c016|SEV_batch3_c015,246|660|506|495|734|876|246|208|877|431|391|102|112|245|371|70|636|891|249|246|352|525|519,284.59|461.90|465.00|432.25|417.17|398.97|314.01|424.29|405.58|435.64|437.85|422.45|486.56|281.93|442.57|439.19|459.29|470.05|244.48|200.49|491.24|400.09|466.56,177.325,236.2913,75.7267,124.9092,0.3043,0.4783,-30.6903,4
