split_seed,fold,n_early,model,MAE,MedianAE,Within_50
42,0,50,PINN_Knee,121.34,54.52,0.4167
42,0,50,RandomForest,122.75,75.55,0.4167
42,0,50,PINN_UQ,146.98,110.92,0.3333
42,0,50,Ensemble_NN,180.06,127.47,0.2917
42,0,50,Pure_NN,180.06,127.47,0.2917
42,0,50,GaussianProcess,352.47,249.87,0.0833
42,0,50,Neural_ODE,173.47,68.34,0.5
42,0,50,XGBoost,167.16,110.14,0.375
42,0,100,PINN_Knee,95.39,40.4,0.5217
42,0,100,RandomForest,90.36,50.85,0.4783
42,0,100,PINN_UQ,120.96,80.13,0.2609
42,0,100,Ensemble_NN,149.25,120.96,0.1304
42,0,100,Pure_NN,149.25,120.96,0.1304
42,0,100,GaussianProcess,304.38,219.18,0.2174
42,0,100,Neural_ODE,124.53,98.86,0.1739
42,0,100,XGBoost,102.5,33.06,0.5652
42,0,150,PINN_Knee,84.48,41.35,0.5652
42,0,150,RandomForest,103.69,82.18,0.2174
42,0,150,PINN_UQ,127.6,95.59,0.3043
42,0,150,Ensemble_NN,114.59,86.01,0.2609
42,0,150,Pure_NN,114.59,86.01,0.2609
42,0,150,GaussianProcess,441.64,112.27,0.087
42,0,150,Neural_ODE,119.44,120.02,0.3043
42,0,150,XGBoost,107.82,75.7,0.4783
42,1,50,PINN_Knee,148.14,57.83,0.4583
42,1,50,RandomForest,160.6,73.84,0.4167
42,1,50,PINN_UQ,150.93,50.78,0.5
42,1,50,Ensemble_NN,167.92,55.8,0.5
42,1,50,Pure_NN,167.92,55.8,0.5
42,1,50,GaussianProcess,300.79,219.12,0.1667
42,1,50,Neural_ODE,180.23,100.82,0.25
42,1,50,XGBoost,179.62,90.63,0.2917
42,1,100,PINN_Knee,147.34,70.16,0.3043
42,1,100,RandomForest,148.29,88.71,0.3478
42,1,100,PINN_UQ,140.45,72.99,0.3913
42,1,100,Ensemble_NN,145.39,77.2,0.4348
42,1,100,Pure_NN,145.39,77.2,0.4348
