metric,n_early,baseline,family,pinn,base,delta,ci_lo,ci_hi,wilcoxon_p,favours_pinn
MAE,50,PINN_UQ,deep-learning,159.21860666666666,168.15645333333333,-8.937846666666669,-24.37551999999999,6.499826666666652,0.15625,False
MAE,50,Pure_NN,deep-learning,159.21860666666666,178.43626666666665,-19.217660000000002,-39.14493333333333,3.5802666666666427,0.15625,False
MAE,50,Ensemble_NN,deep-learning,159.21860666666666,170.91092666666665,-11.692319999999999,-34.12362,11.37713999999998,0.15625,False
MAE,50,Neural_ODE,deep-learning,159.21860666666666,194.34745333333336,-35.128846666666675,-55.34670000000001,-21.403046666666675,0.03125,True
MAE,50,LSTM,deep-learning,159.21860666666666,268.87242000000003,-109.65381333333335,-136.8686666666667,-87.34801333333336,0.03125,True
MAE,50,GRU,deep-learning,159.21860666666666,267.8562733333333,-108.63766666666666,-134.9783666666667,-85.49472,0.03125,True
MAE,50,Bayesian_LSTM,deep-learning,159.21860666666666,269.0487266666667,-109.83012,-137.04942,-87.56449333333335,0.03125,True
MAE,50,Transformer,deep-learning,159.21860666666666,246.67415999999997,-87.45555333333331,-110.93881999999999,-65.64150666666664,0.03125,True
MAE,50,Informer,deep-learning,159.21860666666666,245.63031333333333,-86.41170666666667,-109.90697999999998,-64.66349333333332,0.03125,True
MAE,50,PatchTST,deep-learning,159.21860666666666,245.14473333333336,-85.92612666666666,-109.15118,-64.20953333333333,0.03125,True
MAE,50,GaussianProcess,classical,159.21860666666666,162.4539,-3.2352933333333285,-34.262280000000025,8.316980000000012,0.78125,False
MAE,50,RandomForest,classical,159.21860666666666,165.08088,-5.862273333333332,-15.617840000000006,3.5814600000000043,0.3125,False
MAE,50,XGBoost,classical,159.21860666666666,194.18782000000002,-34.969213333333336,-64.62674000000001,-5.507760000000016,0.0625,True
MAE,100,PINN_UQ,deep-learning,139.61216,142.76009333333332,-3.147933333333339,-10.328360000000009,1.9120333333333348,0.15625,False
MAE,100,Pure_NN,deep-learning,139.61216,161.5095333333333,-21.89737333333334,-33.70737333333334,-12.455633333333338,0.03125,True
