fold,fit_cell,seed,knee_fit,n_test,zeroshot,const_1cell,phys_before,delta_before,freeze_physics,freeze_nn,full,phys_after_full,delta_after_full,from_scratch
0,TONGJI_NCM_T25_C0.5_1.0_id12,0,161,18,329.44,170.44,48.1,-450.4,572.47,329.44,132.33,792.9,-575.0,170.61
0,TONGJI_NCM_T25_C0.5_1.0_id12,1,161,18,329.44,170.44,20.0,-455.5,340.32,329.44,426.4,20.0,735.5,133.37
0,TONGJI_NCM_T25_C0.5_1.0_id12,2,161,18,329.44,170.44,20.0,-426.3,486.0,329.44,164.92,758.3,-583.8,487.93
1,TONGJI_NCM_T25_C0.5_1.0_id13,0,239,18,325.11,128.22,101.2,-452.4,125.55,325.11,124.88,774.7,-492.8,124.86
1,TONGJI_NCM_T25_C0.5_1.0_id13,1,239,18,325.11,128.22,44.3,-451.8,339.91,131.76,124.95,767.9,-481.5,1664.23
1,TONGJI_NCM_T25_C0.5_1.0_id13,2,239,18,325.11,128.22,20.0,-428.1,130.06,325.11,130.06,20.0,309.2,166.05
2,TONGJI_NCM_T25_C0.5_1.0_id15,0,231,18,325.56,129.56,90.2,-453.0,571.61,325.56,131.61,780.0,-555.8,145.58
2,TONGJI_NCM_T25_C0.5_1.0_id15,1,231,18,325.56,129.56,20.0,-452.4,395.31,126.55,125.33,766.4,-505.0,124.69
2,TONGJI_NCM_T25_C0.5_1.0_id15,2,231,18,325.56,129.56,20.0,-431.1,152.81,325.56,128.56,20.0,210.7,278.15
3,TONGJI_NCM_T25_C0.5_1.0_id16,0,270,18,323.39,126.5,96.9,-453.0,166.83,323.39,126.52,352.9,-58.3,134.39
3,TONGJI_NCM_T25_C0.5_1.0_id16,1,270,18,323.39,126.5,20.9,-452.5,433.37,125.89,126.44,767.2,-502.0,149.98
3,TONGJI_NCM_T25_C0.5_1.0_id16,2,270,18,323.39,126.5,20.0,-428.8,267.9,323.39,267.9,20.0,524.2,126.48
4,TONGJI_NCM_T25_C0.5_1.0_id17,0,220,18,326.17,133.61,96.4,-453.0,569.54,326.17,123.57,730.9,-454.9,123.61
4,TONGJI_NCM_T25_C0.5_1.0_id17,1,220,18,326.17,133.61,23.0,-453.0,197.18,145.31,123.65,726.9,-443.0,125.76
4,TONGJI_NCM_T25_C0.5_1.0_id17,2,220,18,326.17,133.61,20.0,-428.4,469.86,326.17,469.86,20.0,776.9,192.38
5,TONGJI_NCM_T25_C0.5_1.0_id05,0,370,18,317.83,150.94,90.1,-453.0,160.13,317.83,179.5,446.0,-21.0,159.25
5,TONGJI_NCM_T25_C0.5_1.0_id05,1,370,18,317.83,150.94,20.0,-452.5,163.21,143.95,172.03,399.3,16.9,191.05
5,TONGJI_NCM_T25_C0.5_1.0_id05,2,370,18,317.83,150.94,20.0,-430.9,157.5,317.83,128.71,20.0,295.5,134.75
6,TONGJI_NCM_T25_C0.5_1.0_id08,0,290,18,322.28,127.61,119.8,-453.0,124.78,322.28,143.94,396.8,-35.8,134.63
6,TONGJI_NCM_T25_C0.5_1.0_id08,1,290,18,322.28,127.61,22.9,-452.5,157.05,127.87,332.22,453.0,175.8,146.79
6,TONGJI_NCM_T25_C0.5_1.0_id08,2,290,18,322.28,127.61,20.0,-428.4,132.25,322.28,132.25,20.0,307.8,493.73
7,TONGJI_NCM_T25_C0.5_1.0_id09,0,229,18,325.67,130.11,116.4,-453.0,564.11,325.67,125.5,761.4,-460.4,201.95
7,TONGJI_NCM_T25_C0.5_1.0_id09,1,229,18,325.67,130.11,28.5,-453.0,137.34,131.56,141.3,503.9,-136.0,125.36
7,TONGJI_NCM_T25_C0.5_1.0_id09,2,229,18,325.67,130.11,20.0,-428.1,175.72,325.67,175.72,20.0,408.4,182.7
8,TONGJI_NCM_T35_C0.5_1.0_id01,0,166,18,329.17,166.39,94.7,-452.3,553.7,329.17,984.18,773.0,542.3,144.18
8,TONGJI_NCM_T35_C0.5_1.0_id01,1,166,18,329.17,166.39,34.8,-452.8,494.0,183.41,161.06,750.8,-575.2,1185.86
8,TONGJI_NCM_T35_C0.5_1.0_id01,2,166,18,329.17,166.39,20.0,-428.2,223.2,329.17,223.2,20.0,474.8,165.17
9,TONGJI_NCM_T35_C0.5_1.0_id02,0,152,18,329.94,178.94,129.2,-453.0,310.22,329.94,357.42,20.0,648.2,135.66
9,TONGJI_NCM_T35_C0.5_1.0_id02,1,152,18,329.94,178.94,30.1,-454.9,493.73,120.26,141.25,770.2,-567.8,149.53
9,TONGJI_NCM_T35_C0.5_1.0_id02,2,152,18,329.94,178.94,20.0,-428.1,481.28,329.94,481.28,20.0,792.3,467.34
10,TONGJI_NCM_T35_C0.5_1.0_id03,0,392,18,316.61,161.94,92.9,-451.9,161.08,316.61,151.05,428.2,-54.8,154.61
10,TONGJI_NCM_T35_C0.5_1.0_id03,1,392,18,316.61,161.94,42.2,-453.2,192.72,142.29,174.31,433.1,-12.1,180.41
10,TONGJI_NCM_T35_C0.5_1.0_id03,2,392,18,316.61,161.94,20.0,-428.1,220.8,316.61,220.8,20.0,455.1,228.17
11,TONGJI_NCM_T45_C0.5_1.0_id12,0,421,18,315.0,180.44,101.6,-452.7,168.93,142.55,175.77,423.7,-8.7,172.39
11,TONGJI_NCM_T45_C0.5_1.0_id12,1,421,18,315.0,180.44,20.0,-451.7,200.65,141.48,232.55,490.0,1.9,194.64
11,TONGJI_NCM_T45_C0.5_1.0_id12,2,421,18,315.0,180.44,20.0,-429.5,170.31,315.0,170.31,20.0,387.3,150.91
12,TONGJI_NCM_T45_C0.5_1.0_id14,0,321,18,320.56,132.78,131.4,-452.3,123.62,135.84,124.64,304.6,-29.2,159.82
12,TONGJI_NCM_T45_C0.5_1.0_id14,1,321,18,320.56,132.78,39.1,-451.7,173.19,135.36,160.01,354.4,47.4,175.99
