method,n_early,stratum,n,coverage,width
CV+,50,short,42,0.9761904761904762,1019.1809523809524
CV+,50,medium,35,1.0,1054.6219999999998
CV+,50,long,40,0.9,1045.74575
CV+,50,all,117,0.9572649572649573,1038.8649572649572
CV+,100,short,38,1.0,951.5331578947367
CV+,100,medium,35,1.0,1004.0025714285713
CV+,100,long,40,0.925,982.759
CV+,100,all,113,0.9734513274336283,978.8381415929205
CV+,150,short,33,1.0,733.8687878787879
CV+,150,medium,35,1.0,729.1942857142857
CV+,150,long,40,0.925,725.34825
CV+,150,all,108,0.9722222222222222,729.1981481481481
GP_Bayes95,50,short,41,0.7560975609756098,765.3479611929572
GP_Bayes95,50,medium,34,1.0,1058.0560979413938
GP_Bayes95,50,long,40,0.95,1072.988556224485
GP_Bayes95,50,all,115,0.8956521739130435,958.8931825034612
GP_Bayes95,100,short,37,0.8378378378378378,664.7985810954789
GP_Bayes95,100,medium,34,1.0,951.8863020328407
GP_Bayes95,100,long,40,0.95,952.2781883506984
GP_Bayes95,100,all,111,0.9279279279279279,856.3316153484436
GP_Bayes95,150,short,32,0.9375,499.78606748010367
GP_Bayes95,150,medium,34,0.9411764705882353,658.607817341146
GP_Bayes95,150,long,40,0.9,728.790613841827
GP_Bayes95,150,all,106,0.9245283018867925,637.1457028550506
