n_early,seed,PICP,MPIW,MAE,fold
50,0,1.0,1183.8917711987299,111.58321473232293,0
50,1,1.0,1123.1714665782372,111.17376984339788,0
50,2,1.0,1043.2046238171358,114.06612067823693,0
50,0,0.9130434782608695,1131.255592821884,139.38434664146044,1
50,1,0.9130434782608695,938.6891644019904,139.4337323709036,1
50,2,0.9130434782608695,973.4859601404216,138.00944005238503,1
50,0,1.0,1161.4568471133637,156.17343060801716,2
50,1,1.0,1107.6144768673255,151.91811523612796,2
50,2,1.0,1070.1232662441143,152.6629367788292,2
50,0,0.9565217391304348,1071.3834794370466,166.46227551703012,3
50,1,0.9130434782608695,965.7991256809692,166.97983290251045,3
50,2,0.9130434782608695,933.5065804617333,166.88203710922505,3
50,0,1.0,1204.394302957586,173.75633973999405,4
50,1,1.0,1099.6471971460671,173.95852165425853,4
50,2,1.0,992.7167935627295,174.1727639666699,4
100,0,1.0,1019.5284652696362,103.57554912156465,0
100,1,1.0,1024.2099654325923,103.59795370824749,0
100,2,1.0,1038.3389309319098,103.2109799976476,0
100,0,0.9130434782608695,947.0279522422468,140.15796014329322,1
100,1,0.9130434782608695,911.2806921092578,134.1262034037225,1
100,2,0.9130434782608695,950.8671865533437,135.5822252293026,1
100,0,1.0,941.4704911304063,139.35729318810897,2
100,1,0.9523809523809523,898.2173179644619,139.67502796223877,2
100,2,0.9523809523809523,975.0554367098839,139.4460886714722,2
100,0,0.9130434782608695,847.0992243285278,165.08675174819027,3
100,1,0.9130434782608695,815.9240611780604,164.98349901582426,3
100,2,0.9565217391304348,874.6515016808177,164.84103681579774,3
100,0,1.0,969.7182129803036,158.37856213796704,4
100,1,1.0,971.2950469736116,158.46406486244712,4
100,2,0.9545454545454546,845.6263701728977,158.52719173006557,4
150,0,0.9545454545454546,730.2690414412876,96.95488889101874,0
150,1,1.0,761.9669996673143,97.10859410569037,0
150,2,1.0,770.5660756445741,97.05035596705524,0
150,0,0.9130434782608695,701.4322293546866,114.45662053450904,1
150,1,0.9130434782608695,730.4319341447482,115.3378326690423,1
150,2,0.9130434782608695,731.7382986094948,114.48799268435954,1
150,0,0.95,726.466224496068,101.3890583441569,2
150,1,0.95,756.4203359266147,101.17740384004037,2
150,2,0.95,711.478502407172,101.36543871274613,2
150,0,0.9523809523809523,752.729135719226,128.58009366937398,3
150,1,0.9523809523809523,741.6246418056571,130.04650511694913,3
150,2,0.9523809523809523,734.8203940496451,128.83459740350935,3
150,0,1.0,788.4319501757874,129.82587071798767,4
150,1,1.0,765.5337932503071,129.86505007678875,4
150,2,1.0,728.577623546184,129.99974169209403,4
