split_seed,fold,model_seed,n_test,arch_only,mlp_matched,diff
100,0,0,24,122.2572,162.0621,39.8048
100,1,0,23,138.9826,166.4033,27.4207
100,2,0,21,185.5399,211.7792,26.2394
100,3,0,23,172.6198,170.0918,-2.528
100,4,0,22,109.0513,88.8162,-20.2351
101,0,0,24,158.1343,154.2484,-3.8859
101,1,0,23,172.915,167.9995,-4.9156
101,2,0,22,158.4169,149.1439,-9.273
101,3,0,21,122.9304,152.0215,29.0911
101,4,0,23,101.8361,99.4929,-2.3432
102,0,0,24,107.1787,106.4844,-0.6943
102,1,0,24,160.4554,168.0311,7.5757
102,2,0,23,107.3915,128.2159,20.8243
102,3,0,21,115.7055,123.2965,7.591
102,4,0,21,273.2683,272.1911,-1.0772
103,0,0,23,159.7152,175.7764,16.0613
103,1,0,24,123.173,124.0459,0.8729
103,2,0,22,147.28,124.4233,-22.8567
103,3,0,21,131.5593,155.4035,23.8443
103,4,0,23,170.658,184.0409,13.3829
104,0,0,23,137.0023,126.6221,-10.3802
104,1,0,24,152.7817,179.2908,26.5091
104,2,0,22,132.9,138.5317,5.6317
104,3,0,22,154.3206,128.7036,-25.617
104,4,0,22,159.2489,168.0797,8.8308
105,0,0,24,160.3101,186.5707,26.2606
105,1,0,23,163.3806,182.6301,19.2495
105,2,0,21,129.2562,171.0159,41.7597
105,3,0,23,119.7845,146.3433,26.5588
105,4,0,22,181.3872,201.102,19.7148
106,0,0,24,150.5756,169.5953,19.0197
106,1,0,23,177.4365,131.2004,-46.2361
106,2,0,23,71.624,77.4776,5.8537
106,3,0,22,155.4029,173.1352,17.7324
106,4,0,21,184.2002,186.5935,2.3934
107,0,0,24,178.7788,186.3586,7.5798
107,1,0,23,102.1592,103.0706,0.9113
107,2,0,22,128.8901,161.0662,32.176
107,3,0,22,117.7236,114.7445,-2.9791
107,4,0,22,160.2908,185.9239,25.6331
108,0,0,24,107.7466,107.6194,-0.1272
108,1,0,24,88.2271,106.6578,18.4307
108,2,0,23,122.3598,132.1613,9.8015
108,3,0,20,258.9102,258.7883,-0.1218
108,4,0,22,163.8304,132.4137,-31.4167
109,0,0,23,129.5616,151.0024,21.4408
109,1,0,23,173.9542,180.0298,6.0756
109,2,0,22,165.5935,202.4595,36.866
109,3,0,22,152.8272,171.0269,18.1997
109,4,0,23,95.9996,87.1779,-8.8217
110,0,0,22,169.6749,189.3252,19.6503
110,1,0,24,146.7027,147.5372,0.8345
110,2,0,21,178.1349,214.3775,36.2426
110,3,0,23,139.5737,103.9534,-35.6203
110,4,0,23,119.1714,121.5627,2.3913
111,0,0,23,156.8427,151.444,-5.3988
111,1,0,23,106.3904,116.1489,9.7585
111,2,0,23,164.1971,175.2575,11.0604
111,3,0,22,134.1964,105.8326,-28.3638
111,4,0,22,161.0889,162.2741,1.1852
112,0,0,22,98.3927,146.7604,48.3677
112,1,0,24,260.158,211.2323,-48.9258
112,2,0,22,147.5455,113.6258,-33.9197
112,3,0,23,189.4427,160.232,-29.2108
112,4,0,22,169.5499,164.672,-4.8779
113,0,0,24,141.406,151.9303,10.5242
113,1,0,23,160.886,178.8511,17.9651
113,2,0,21,129.1388,145.7631,16.6243
113,3,0,22,192.6794,214.757,22.0776
113,4,0,23,116.1123,132.3308,16.2185
114,0,0,24,100.2244,109.6205,9.396
114,1,0,24,150.4491,184.9056,34.4565
114,2,0,22,136.059,161.3932,25.3342
114,3,0,23,174.203,204.7053,30.5022
114,4,0,20,103.4927,122.707,19.2143
115,0,0,23,151.8017,126.9189,-24.8828
115,1,0,23,149.8913,157.1609,7.2696
115,2,0,23,108.1229,135.1558,27.0329
115,3,0,21,149.6996,157.5915,7.8919
115,4,0,23,157.2968,189.7673,32.4705
116,0,0,24,180.3548,195.0124,14.6576
116,1,0,24,120.2418,129.4155,9.1737
116,2,0,20,176.6742,183.8819,7.2077
116,3,0,23,147.7313,174.6934,26.9621
116,4,0,22,99.4587,115.528,16.0693
117,0,0,23,177.3353,99.7203,-77.615
117,1,0,23,102.67,130.9763,28.3063
117,2,0,22,187.8048,196.098,8.2932
117,3,0,23,182.6208,186.7757,4.155
117,4,0,22,213.125,229.256,16.131
118,0,0,24,117.1849,125.5274,8.3425
118,1,0,22,88.1148,104.9936,16.8788
118,2,0,22,182.2696,187.1733,4.9037
118,3,0,23,141.4252,170.8247,29.3995
118,4,0,22,193.5844,220.4112,26.8269
119,0,0,23,172.0308,179.558,7.5271
119,1,0,24,129.1484,151.9273,22.7788
119,2,0,22,161.2642,185.7734,24.5092
119,3,0,22,125.0183,126.6037,1.5854
119,4,0,22,99.2094,132.2315,33.0221
